# lat,lng,id,name,building_type,type,url,page_type
# baldissero_dalba -- Tutti
44.762061,7.910392,osm_bar_trattoria_i_sardi_44.7621_7.9104,Bar trattoria i Sardi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/baldissero_dalba/pages/bar_trattoria_i_sardi_44.7621_7.9104.json,custom
44.759610,7.914670,ov_numero_3_44.7596_7.9147,Numero 3,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/baldissero_dalba/pages/numero_3_44.7596_7.9147.json,custom
44.761259,7.911574,ov_le_mer_caffe_e_piadine_44.7613_7.9116,Le Mer Caffe e Piadine,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/baldissero_dalba/pages/le_mer_caffe_e_piadine_44.7613_7.9116.json,custom
44.778360,7.861110,ov_acli_baroli_44.7784_7.8611,ACLI Baroli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/baldissero_dalba/pages/acli_baroli_44.7784_7.8611.json,custom
44.761076,7.912790,ov_museo_della_racchetta_44.7611_7.9128,Museo della racchetta,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/baldissero_dalba/pages/museo_della_racchetta_44.7611_7.9128.json,custom
