# lat,lng,id,name,building_type,type,url,page_type
# Potenza Picena -- Tutti
43.359103,13.697023,ov_niche_poliambulatorio_43.3591_13.6970,Niche Poliambulatorio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/niche_poliambulatorio_43.3591_13.6970.json,custom
43.242264,13.377550,ov_ristorante_da_rambo_43.2423_13.3775,Ristorante da Rambo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/ristorante_da_rambo_43.2423_13.3775.json,custom
43.399341,13.681162,ov_seaside_restaurant___lounge_bar_43.3993_13.6812,Seaside Restaurant & Lounge Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/seaside_restaurant_lounge_bar_43.3993_13.6812.json,custom
43.394553,13.679937,ov_ristorante_pizzeria_il_volo_43.3946_13.6799,Ristorante Pizzeria IL VOLO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/ristorante_pizzeria_il_volo_43.3946_13.6799.json,custom
43.386183,13.686096,ov_taverna_tre_corone_43.3862_13.6861,Taverna Tre Corone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/taverna_tre_corone_43.3862_13.6861.json,custom
43.374481,13.691924,ov_sun_beach_43.3745_13.6919,Sun Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/sun_beach_43.3745_13.6919.json,custom
43.359969,13.698604,ov_ristorante_pizzeria_nettuno_43.3600_13.6986,Ristorante Pizzeria Nettuno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/ristorante_pizzeria_nettuno_43.3600_13.6986.json,custom
43.360362,13.698525,ov_solero_43.3604_13.6985,Solero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/solero_43.3604_13.6985.json,custom
43.360669,13.698345,ov_blu_di_lollo__chalet_43.3607_13.6983,"Blu Di Lollo, Chalet",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/blu_di_lollo_chalet_43.3607_13.6983.json,custom
43.362628,13.697386,ov_l_ancora_balneare_43.3626_13.6974,L'Ancora Balneare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/lancora_balneare_43.3626_13.6974.json,custom
43.364517,13.694671,ov_il_sombrero_rosticceria_pizzeria_tavola__43.3645_13.6947,Il Sombrero Rosticceria Pizzeria Tavola-Calda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/il_sombrero_rosticceria_pizzeria_tavola-_43.3645_13.6947.json,custom
43.360331,13.696789,ov_pizzeria_adriatica_43.3603_13.6968,Pizzeria Adriatica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/pizzeria_adriatica_43.3603_13.6968.json,custom
43.359657,13.696745,ov_pizzeria_punto_pizza_43.3597_13.6967,Pizzeria Punto Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/pizzeria_punto_pizza_43.3597_13.6967.json,custom
43.366286,13.694221,ov_pasta_in_bocca_43.3663_13.6942,Pasta In bocca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/pasta_in_bocca_43.3663_13.6942.json,custom
