# lat,lng,id,name,building_type,type,url,page_type
# Scafa -- Tutti
42.266942,13.996251,osm_distretto_socio_sanitario___scafa_42.2669_13.9963,Distretto socio-sanitario - Scafa,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/scafa/pages/distretto_socio-sanitario_-_scafa_42.2669_13.9963.json,custom
42.266673,13.982727,ov_locanda_ammare_42.2667_13.9827,Locanda AmMare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/scafa/pages/locanda_ammare_42.2667_13.9827.json,custom
42.267055,13.992257,ov_l_antica_fonte_romana_42.2671_13.9923,L'Antica Fonte Romana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/scafa/pages/lantica_fonte_romana_42.2671_13.9923.json,custom
42.265826,13.997650,ov_exclusive_42.2658_13.9976,Exclusive,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/scafa/pages/exclusive_42.2658_13.9976.json,custom
42.267126,13.995582,ov_bar_pasticceria_piero_e_santina_42.2671_13.9956,Bar Pasticceria Piero e Santina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/scafa/pages/bar_pasticceria_piero_e_santina_42.2671_13.9956.json,custom
42.029510,13.664320,ov_palestra_femminile_liberty_gym_42.0295_13.6643,Palestra Femminile Liberty Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/scafa/pages/palestra_femminile_liberty_gym_42.0295_13.6643.json,custom
42.262911,13.963938,ov_cue_club_a_s_d_42.2629_13.9639,Cue Club A.S.D,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/scafa/pages/cue_club_asd_42.2629_13.9639.json,custom
42.263795,13.996909,ov_campo_sportivo_42.2638_13.9969,Campo Sportivo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/scafa/pages/campo_sportivo_42.2638_13.9969.json,custom
42.266931,13.994901,osm_poste_italiane_42.2669_13.9949,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/scafa/pages/poste_italiane_42.2669_13.9949.json,custom
