# lat,lng,id,name,building_type,type,url,page_type
# cagli -- Tutti
43.547757,12.650745,ov_ospedale_civile_a__celli_43.5478_12.6507,Ospedale Civile A. Celli,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cagli/pages/ospedale_civile_a_celli_43.5478_12.6507.json,custom
43.602877,12.591299,ov_hostaria_dal_vigno_43.6029_12.5913,Hostaria dal Vigno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cagli/pages/hostaria_dal_vigno_43.6029_12.5913.json,custom
43.615330,12.672742,ov_ristorante_il_poeta_43.6153_12.6727,Ristorante il Poeta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cagli/pages/ristorante_il_poeta_43.6153_12.6727.json,custom
43.608926,12.673470,ov_ristorante_duemila_43.6089_12.6735,Ristorante Duemila,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cagli/pages/ristorante_duemila_43.6089_12.6735.json,custom
43.593946,12.713426,ov_agriturismo_ca__pierello_43.5939_12.7134,Agriturismo Ca' Pierello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cagli/pages/agriturismo_ca_pierello_43.5939_12.7134.json,custom
43.604326,12.711659,ov_agriturismo_da_mezzanotte_43.6043_12.7117,Agriturismo Da Mezzanotte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cagli/pages/agriturismo_da_mezzanotte_43.6043_12.7117.json,custom
43.584147,12.673265,ov_jolly_ristorante_pizzeria_43.5841_12.6733,Jolly Ristorante-pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cagli/pages/jolly_ristorante-pizzeria_43.5841_12.6733.json,custom
43.577964,12.673387,ov_agriturismo_campagna_43.5780_12.6734,Agriturismo Campagna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cagli/pages/agriturismo_campagna_43.5780_12.6734.json,custom
43.570068,12.663798,ov_al_biancospino_l_isola_del_ristoro_43.5701_12.6638,Al Biancospino l'Isola del Ristoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cagli/pages/al_biancospino_lisola_del_ristoro_43.5701_12.6638.json,custom
43.557696,12.646736,ov_flaminia_montefeltro_43.5577_12.6467,Flaminia Montefeltro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cagli/pages/flaminia_montefeltro_43.5577_12.6467.json,custom
43.553378,12.652569,ov_laboratorio_del_dolce_43.5534_12.6526,Laboratorio del Dolce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cagli/pages/laboratorio_del_dolce_43.5534_12.6526.json,custom
