# lat,lng,id,name,building_type,type,url,page_type
# Rocchetta Nervina -- Tutti
43.946025,7.515419,ov_h_pital_de_breil_sur_roya_43.9460_7.5154,Hôpital De Breil Sur Roya,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/rocchetta_nervina/pages/hpital_de_breil_sur_roya_43.9460_7.5154.json,custom
43.889399,7.600619,ov_un_boccone_al_volo_home_restaurant___tak_43.8894_7.6006,Un boccone al volo-Home Restaurant & Take away,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/rocchetta_nervina/pages/un_boccone_al_volo-home_restaurant_take__43.8894_7.6006.json,custom
43.890250,7.600049,ov_ristorante_rio_barbaira_43.8903_7.6000,Ristorante Rio Barbaira,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/rocchetta_nervina/pages/ristorante_rio_barbaira_43.8903_7.6000.json,custom
43.890209,7.599993,ov_gentile_43.8902_7.6000,Gentile,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/rocchetta_nervina/pages/gentile_43.8902_7.6000.json,custom
43.890376,7.602123,ov_la_pecora_nera_43.8904_7.6021,La Pecora Nera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/rocchetta_nervina/pages/la_pecora_nera_43.8904_7.6021.json,custom
43.890494,7.600812,ov_e_dubar_e___rocchetta_nervina_43.8905_7.6008,E Dubarìe - Rocchetta Nervina,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/rocchetta_nervina/pages/e_dubare_-_rocchetta_nervina_43.8905_7.6008.json,custom
43.890169,7.600195,ov_biblio_ludoteca_43.8902_7.6002,Biblio-Ludoteca,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/rocchetta_nervina/pages/biblio-ludoteca_43.8902_7.6002.json,custom
