# lat,lng,id,name,building_type,type,url,page_type
# Palazzolo dello Stella -- Tutti
45.812000,13.106546,ov_ospedale_di_latisana_45.8120_13.1065,Ospedale di Latisana,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/palazzolo_dello_stella/pages/ospedale_di_latisana_45.8120_13.1065.json,custom
45.809853,13.100116,ov_ristorante_pizzeria_da_michele_45.8099_13.1001,Ristorante Pizzeria da Michele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/palazzolo_dello_stella/pages/ristorante_pizzeria_da_michele_45.8099_13.1001.json,custom
45.798988,13.054078,ov_novecento_all_isola_45.7990_13.0541,Novecento all'Isola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/palazzolo_dello_stella/pages/novecento_allisola_45.7990_13.0541.json,custom
45.802592,13.071053,ov_antica_osteria_ai_tubi_45.8026_13.0711,Antica Osteria Ai Tubi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/palazzolo_dello_stella/pages/antica_osteria_ai_tubi_45.8026_13.0711.json,custom
45.802987,13.071587,ov_pizzeria_stella___palazzolo_dello_stella_45.8030_13.0716,Pizzeria Stella - PALAZZOLO DELLO STELLA (UD),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/palazzolo_dello_stella/pages/pizzeria_stella_-_palazzolo_dello_stella_45.8030_13.0716.json,custom
45.758271,13.092352,ov_trattoria_al_cacciatore_45.7583_13.0924,Trattoria Al Cacciatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/palazzolo_dello_stella/pages/trattoria_al_cacciatore_45.7583_13.0924.json,custom
45.784098,13.084131,ov_osteria_da_mauro_45.7841_13.0841,Osteria da Mauro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/palazzolo_dello_stella/pages/osteria_da_mauro_45.7841_13.0841.json,custom
45.802943,13.071412,osm_pizzeria_stella_45.8029_13.0714,Pizzeria Stella,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/palazzolo_dello_stella/pages/pizzeria_stella_45.8029_13.0714.json,custom
45.805707,13.070519,osm_profumodivino_45.8057_13.0705,Profumodivino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/palazzolo_dello_stella/pages/profumodivino_45.8057_13.0705.json,custom
45.802553,13.071049,osm_ai_tubi_45.8026_13.0710,Ai Tubi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/palazzolo_dello_stella/pages/ai_tubi_45.8026_13.0710.json,custom
45.802928,13.072596,ov_bar_spritz_time_45.8029_13.0726,Bar Spritz Time,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/palazzolo_dello_stella/pages/bar_spritz_time_45.8029_13.0726.json,custom
45.804342,13.079702,ov_caff__centro_45.8043_13.0797,Caffè Centro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/palazzolo_dello_stella/pages/caff_centro_45.8043_13.0797.json,custom
45.804229,13.078688,osm_alla_fresca_45.8042_13.0787,Alla Fresca,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/palazzolo_dello_stella/pages/alla_fresca_45.8042_13.0787.json,custom
45.823401,13.036057,ov_specialisti_softair_team_45.8234_13.0361,Specialisti Softair Team,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/palazzolo_dello_stella/pages/specialisti_softair_team_45.8234_13.0361.json,custom
45.802900,13.077493,ov_body_factory_45.8029_13.0775,Body Factory,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/palazzolo_dello_stella/pages/body_factory_45.8029_13.0775.json,custom
45.804500,13.080990,ov_biblioteca_palazzolo_dello_stella_45.8045_13.0810,Biblioteca Palazzolo Dello Stella,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/palazzolo_dello_stella/pages/biblioteca_palazzolo_dello_stella_45.8045_13.0810.json,custom
45.806105,13.079448,osm_biblioteca_comunale_45.8061_13.0794,Biblioteca comunale,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/palazzolo_dello_stella/pages/biblioteca_comunale_45.8061_13.0794.json,custom
