# lat,lng,id,name,building_type,type,url,page_type
# Binasco -- Tutti
45.333368,9.096766,ov_ospedale_s__margherita_pavia_45.3334_9.0968,Ospedale S. Margherita Pavia,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/ospedale_s_margherita_pavia_45.3334_9.0968.json,custom
45.326999,9.097280,ov_la_piazzetta_dei_bambini_45.3270_9.0973,La Piazzetta dei Bambini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/la_piazzetta_dei_bambini_45.3270_9.0973.json,custom
45.327650,9.102190,ov_ristorante_soleluna_binasco_45.3276_9.1022,Ristorante soleluna binasco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/ristorante_soleluna_binasco_45.3276_9.1022.json,custom
45.335769,9.107667,ov_mcdonald_s_45.3358_9.1077,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/mcdonalds_45.3358_9.1077.json,custom
45.333687,9.104033,ov_aga_kebap_pizzeria_binasco_45.3337_9.1040,Aga kebap pizzeria binasco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/aga_kebap_pizzeria_binasco_45.3337_9.1040.json,custom
45.330036,9.101352,ov_navigliaccio_45.3300_9.1014,Navigliaccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/navigliaccio_45.3300_9.1014.json,custom
45.331323,9.099493,ov_forno_a_legna_pizza_ok_45.3313_9.0995,Forno A Legna Pizza Ok,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/forno_a_legna_pizza_ok_45.3313_9.0995.json,custom
45.331151,9.101254,ov_la_vecchia_stazione_45.3312_9.1013,La Vecchia Stazione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/la_vecchia_stazione_45.3312_9.1013.json,custom
45.332918,9.103060,ov_il_padellino_45.3329_9.1031,Il Padellino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/il_padellino_45.3329_9.1031.json,custom
45.332749,9.101594,ov_pizzeria_gazebo_45.3327_9.1016,Pizzeria Gazebo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/pizzeria_gazebo_45.3327_9.1016.json,custom
45.333430,9.100504,ov_hosteria_della_pignatta_45.3334_9.1005,Hosteria della Pignatta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/hosteria_della_pignatta_45.3334_9.1005.json,custom
45.333364,9.100189,ov_pappa___design_45.3334_9.1002,Pappa & Design,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/pappa_design_45.3334_9.1002.json,custom
45.330667,9.098427,ov_pupo_s_pizza_45.3307_9.0984,Pupo's Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/pupos_pizza_45.3307_9.0984.json,custom
45.330610,9.098703,ov_la_vera_pizza_italiana_da_maurizio_45.3306_9.0987,La Vera Pizza Italiana da Maurizio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/la_vera_pizza_italiana_da_maurizio_45.3306_9.0987.json,custom
45.330704,9.098075,ov_lievito_45.3307_9.0981,Lievito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/lievito_45.3307_9.0981.json,custom
45.327919,9.095800,ov_bar_maclan_45.3279_9.0958,BAR MACLAN,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/bar_maclan_45.3279_9.0958.json,custom
45.328692,9.103520,ov_giovi39_45.3287_9.1035,Giovi39,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/giovi39_45.3287_9.1035.json,custom
45.336169,9.100625,ov_loro_45.3362_9.1006,Loro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/loro_45.3362_9.1006.json,custom
45.330130,9.101220,ov_l_angolo_del_beb__45.3301_9.1012,L'Angolo del Bebè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/langolo_del_beb_45.3301_9.1012.json,custom
45.331432,9.101176,ov_bar_gamba_de_legn_45.3314_9.1012,Bar Gamba De Legn,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/bar_gamba_de_legn_45.3314_9.1012.json,custom
45.331675,9.100852,ov_caf__cavour_45.3317_9.1009,Cafè Cavour,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/caf_cavour_45.3317_9.1009.json,custom
45.331885,9.100605,ov_magia_cafe__45.3319_9.1006,Magia Cafe',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/magia_cafe_45.3319_9.1006.json,custom
45.332062,9.100136,ov_bar_colzani_45.3321_9.1001,Bar Colzani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/bar_colzani_45.3321_9.1001.json,custom
45.331997,9.100100,ov_etoile_d_or_45.3320_9.1001,Etoile D'or,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/etoile_dor_45.3320_9.1001.json,custom
45.331848,9.099414,ov_history_pub_45.3318_9.0994,History Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/history_pub_45.3318_9.0994.json,custom
45.332161,9.100392,ov_gran_caff__binasco_45.3322_9.1004,Gran Caffè Binasco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/gran_caff_binasco_45.3322_9.1004.json,custom
45.332441,9.100850,ov_piccadilly_snc_di_passafaro_antonio_e_c__45.3324_9.1009,Piccadilly SNC di Passafaro Antonio e C.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/piccadilly_snc_di_passafaro_antonio_e_c_45.3324_9.1009.json,custom
45.333560,9.098121,ov_joy_cafe_45.3336_9.0981,Joy Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/joy_cafe_45.3336_9.0981.json,custom
45.331461,9.099255,ov_bar_tre_re_45.3315_9.0993,Bar Tre Re,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/bar_tre_re_45.3315_9.0993.json,custom
45.328348,9.103479,ov_palestra_gym_david_45.3283_9.1035,Palestra Gym David,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/palestra_gym_david_45.3283_9.1035.json,custom
45.331850,9.099830,ov_compagnia_del_passo_antico___gruppo_danz_45.3319_9.0998,Compagnia del Passo Antico - Gruppo Danze Storiche Binasco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/compagnia_del_passo_antico_-_gruppo_danz_45.3319_9.0998.json,custom
45.332199,9.098490,ov_binasco_training_team_45.3322_9.0985,Binasco Training Team,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/binasco_training_team_45.3322_9.0985.json,custom
45.331420,9.099208,ov_revolution_dance_academy_45.3314_9.0992,Revolution Dance Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/revolution_dance_academy_45.3314_9.0992.json,custom
45.336701,9.099009,ov_crossfit_binasco_45.3367_9.0990,CrossFit Binasco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/crossfit_binasco_45.3367_9.0990.json,custom
45.336917,9.098900,ov_centro_manzoni___area_funzionale_45.3369_9.0989,Centro Manzoni - Area Funzionale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/centro_manzoni_-_area_funzionale_45.3369_9.0989.json,custom
45.317230,9.197210,ov_energym_oasi_fitness_45.3172_9.1972,Energym Oasi Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/energym_oasi_fitness_45.3172_9.1972.json,custom
45.336738,9.098332,osm_centro_manzoni_45.3367_9.0983,Centro Manzoni,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/centro_manzoni_45.3367_9.0983.json,custom
45.335938,9.097225,ov_mumac_45.3359_9.0972,MUMAC,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/binasco/pages/mumac_45.3359_9.0972.json,custom
