# lat,lng,id,name,building_type,type,url,page_type
# santa_giustina_in_colle -- Tutti
45.571007,11.904686,ov_farmacia_san_giacomo_45.5710_11.9047,Farmacia San Giacomo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santa_giustina_in_colle/pages/farmacia_san_giacomo_45.5710_11.9047.json,custom
45.561261,11.907518,ov_osteria_romana_45.5613_11.9075,Osteria Romana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santa_giustina_in_colle/pages/osteria_romana_45.5613_11.9075.json,custom
45.552726,11.917772,ov_il_colle_consorzio_restauratori_e_dipint_45.5527_11.9178,Il Colle Consorzio Restauratori e Dipintori Del Nord Est,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santa_giustina_in_colle/pages/il_colle_consorzio_restauratori_e_dipint_45.5527_11.9178.json,custom
45.567800,11.880399,ov_ristorante_bianchi_45.5678_11.8804,Ristorante Bianchi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santa_giustina_in_colle/pages/ristorante_bianchi_45.5678_11.8804.json,custom
45.578349,11.905258,ov_da_nino_45.5783_11.9053,Da Nino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santa_giustina_in_colle/pages/da_nino_45.5783_11.9053.json,custom
45.574188,11.894145,ov_primopiano_priv_e_45.5742_11.8941,Primopiano Privée,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santa_giustina_in_colle/pages/primopiano_prive_45.5742_11.8941.json,custom
45.581714,11.891843,ov_societ__agricola_ai_peschi_45.5817_11.8918,Società Agricola Ai Peschi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santa_giustina_in_colle/pages/societ_agricola_ai_peschi_45.5817_11.8918.json,custom
45.591160,11.907110,ov_agriturismo_zuanon_by_antichi_sapori_45.5912_11.9071,Agriturismo Zuanon by Antichi Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santa_giustina_in_colle/pages/agriturismo_zuanon_by_antichi_sapori_45.5912_11.9071.json,custom
45.599909,11.901941,ov_ristorante_alle_fontane_bianche_45.5999_11.9019,Ristorante Alle Fontane Bianche,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santa_giustina_in_colle/pages/ristorante_alle_fontane_bianche_45.5999_11.9019.json,custom
45.563324,11.906509,ov_caffe_di_all_angolo_45.5633_11.9065,Caffe Di All'Angolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santa_giustina_in_colle/pages/caffe_di_allangolo_45.5633_11.9065.json,custom
45.562928,11.906580,ov_native_caf__45.5629_11.9066,Native café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santa_giustina_in_colle/pages/native_caf_45.5629_11.9066.json,custom
45.561450,11.907635,ov_bar_lucioegianky_45.5614_11.9076,Bar LucioeGianky,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santa_giustina_in_colle/pages/bar_lucioegianky_45.5614_11.9076.json,custom
45.582651,11.896383,ov_david_wine_45.5827_11.8964,David wine,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santa_giustina_in_colle/pages/david_wine_45.5827_11.8964.json,custom
45.565376,11.906494,ov_palasantagiustina_45.5654_11.9065,PalaSantagiustina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santa_giustina_in_colle/pages/palasantagiustina_45.5654_11.9065.json,custom
45.567428,11.901003,ov_palestra_zeus_45.5674_11.9010,Palestra Zeus,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santa_giustina_in_colle/pages/palestra_zeus_45.5674_11.9010.json,custom
45.577240,11.904812,ov_el_malec_n_a_s_d_45.5772_11.9048,El Malecòn a.s.d,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santa_giustina_in_colle/pages/el_malecn_asd_45.5772_11.9048.json,custom
45.585008,11.903937,ov_palafratte_45.5850_11.9039,PalaFratte,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santa_giustina_in_colle/pages/palafratte_45.5850_11.9039.json,custom
45.563390,11.906417,ov_biblioteca_comunale_di_santa_giustina_45.5634_11.9064,Biblioteca Comunale di Santa Giustina,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santa_giustina_in_colle/pages/biblioteca_comunale_di_santa_giustina_45.5634_11.9064.json,custom
