# lat,lng,id,name,building_type,type,url,page_type
# santolcese -- Tutti
44.476810,8.918960,ov_casa_della_salute_44.4768_8.9190,Casa della Salute,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/casa_della_salute_44.4768_8.9190.json,custom
44.480586,8.920853,ov_dalle_due_zie_44.4806_8.9209,Dalle Due Zie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/dalle_due_zie_44.4806_8.9209.json,custom
44.478299,8.935742,ov_osteria_del_gallina_44.4783_8.9357,Osteria Del Gallina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/osteria_del_gallina_44.4783_8.9357.json,custom
44.477380,8.935401,ov_pizzeria_ristorante_il_pontino_44.4774_8.9354,Pizzeria Ristorante Il Pontino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/pizzeria_ristorante_il_pontino_44.4774_8.9354.json,custom
44.476927,8.929701,ov_la_terrazza_del_borgo_44.4769_8.9297,La Terrazza del Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/la_terrazza_del_borgo_44.4769_8.9297.json,custom
44.462563,8.951939,ov_la_baita_del_diamante_44.4626_8.9519,La Baita del Diamante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/la_baita_del_diamante_44.4626_8.9519.json,custom
44.475859,8.961790,ov_agriturismo_e_reixe_44.4759_8.9618,Agriturismo e Reixe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/agriturismo_e_reixe_44.4759_8.9618.json,custom
44.481457,8.924369,ov_chioscocco_44.4815_8.9244,Chioscocco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/chioscocco_44.4815_8.9244.json,custom
44.483557,8.968826,ov_emy_antica_trattoria_pizzeria_44.4836_8.9688,Emy antica trattoria pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/emy_antica_trattoria_pizzeria_44.4836_8.9688.json,custom
44.477325,8.935328,osm_il_pontino_44.4773_8.9353,Il Pontino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/il_pontino_44.4773_8.9353.json,custom
44.476772,8.918326,osm_osteria_toul__pizzeria_44.4768_8.9183,Osteria Toulì Pizzeria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/osteria_toul_pizzeria_44.4768_8.9183.json,custom
