# lat,lng,id,name,building_type,type,url,page_type
# tavernole_sul_mella -- Tutti
45.731471,10.239537,ov_fontana_buna___free_community_for_100__f_45.7315_10.2395,FONTANA BUNA  (free community for 100% farmers ),HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/tavernole_sul_mella/pages/fontana_buna_free_community_for_100_farm_45.7315_10.2395.json,custom
45.753520,10.242537,ov_le_caravelle_2___bar_ristorante_pizzeria_45.7535_10.2425,Le Caravelle 2 - Bar Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/tavernole_sul_mella/pages/le_caravelle_2_-_bar_ristorante_pizzeria_45.7535_10.2425.json,custom
45.748089,10.240675,ov_la_posta_45.7481_10.2407,La Posta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/tavernole_sul_mella/pages/la_posta_45.7481_10.2407.json,custom
45.760010,10.201514,ov_rifugio_cai_valtrompia_45.7600_10.2015,Rifugio CAI Valtrompia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/tavernole_sul_mella/pages/rifugio_cai_valtrompia_45.7600_10.2015.json,custom
45.762030,10.217466,osm_bar_trattoria_dancelli_45.7620_10.2175,Bar Trattoria Dancelli,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/tavernole_sul_mella/pages/bar_trattoria_dancelli_45.7620_10.2175.json,custom
45.753453,10.242542,ov_il_brillo_parlante_45.7535_10.2425,IL Brillo Parlante,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/tavernole_sul_mella/pages/il_brillo_parlante_45.7535_10.2425.json,custom
45.748108,10.240586,ov_bar_vecchia_pesa_45.7481_10.2406,Bar vecchia pesa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/tavernole_sul_mella/pages/bar_vecchia_pesa_45.7481_10.2406.json,custom
45.747293,10.241451,ov_pasticceria_perotti_45.7473_10.2415,Pasticceria Perotti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/tavernole_sul_mella/pages/pasticceria_perotti_45.7473_10.2415.json,custom
45.742689,10.226767,ov_locanda_vecchia_scuola_45.7427_10.2268,Locanda Vecchia Scuola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/tavernole_sul_mella/pages/locanda_vecchia_scuola_45.7427_10.2268.json,custom
45.750663,10.241918,ov_museo_il_forno_di_tavernole_45.7507_10.2419,Museo Il Forno di Tavernole,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/tavernole_sul_mella/pages/museo_il_forno_di_tavernole_45.7507_10.2419.json,custom
45.750547,10.241974,ov_forno_fusorio_45.7505_10.2420,Forno Fusorio,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/tavernole_sul_mella/pages/forno_fusorio_45.7505_10.2420.json,custom
45.750603,10.241986,ov_biblioteca_comunale_di_tavernole_sul_mel_45.7506_10.2420,Biblioteca Comunale di Tavernole sul Mella,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/tavernole_sul_mella/pages/biblioteca_comunale_di_tavernole_sul_mel_45.7506_10.2420.json,custom
45.750767,10.241964,osm_biblioteca_faustino_forlani_e_luigi_rivi_45.7508_10.2420,Biblioteca Faustino Forlani e Luigi Riviera,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/tavernole_sul_mella/pages/biblioteca_faustino_forlani_e_luigi_rivi_45.7508_10.2420.json,custom
