# lat,lng,id,name,building_type,type,url,page_type
# rignano_flaminio -- Tutti
42.168931,12.483245,ov_casa_di_riposo_domus_bach_42.1689_12.4832,Casa di riposo DOMUS BACH,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/casa_di_riposo_domus_bach_42.1689_12.4832.json,custom
42.179669,12.468978,ov_agriturismo_i_tre_tigli_42.1797_12.4690,Agriturismo I Tre Tigli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/agriturismo_i_tre_tigli_42.1797_12.4690.json,custom
42.209211,12.478927,ov_ice_club_2_42.2092_12.4789,Ice Club 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/ice_club_2_42.2092_12.4789.json,custom
42.206562,12.478950,ov_sushi_mania_rignano_flaminio_42.2066_12.4790,Sushi Mania rignano flaminio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/sushi_mania_rignano_flaminio_42.2066_12.4790.json,custom
42.205637,12.478997,ov_ristorante_la_botte_da_franco_42.2056_12.4790,Ristorante La Botte Da Franco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/ristorante_la_botte_da_franco_42.2056_12.4790.json,custom
42.205803,12.479130,ov_trattoria_pranzo_e_cena_42.2058_12.4791,Trattoria Pranzo e Cena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/trattoria_pranzo_e_cena_42.2058_12.4791.json,custom
42.210976,12.480699,ov_pizza__latina_42.2110_12.4807,Pizza  Latina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/pizza_latina_42.2110_12.4807.json,custom
42.214086,12.480408,ov_la_coccinella_42.2141_12.4804,La Coccinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/la_coccinella_42.2141_12.4804.json,custom
42.212280,12.482410,ov_chicco_di_grano_outlet_42.2123_12.4824,Chicco di grano outlet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/chicco_di_grano_outlet_42.2123_12.4824.json,custom
42.210828,12.481069,ov_i_camini_di_lucantonio_srl_42.2108_12.4811,I Camini di Lucantonio SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/i_camini_di_lucantonio_srl_42.2108_12.4811.json,custom
42.209015,12.481211,ov_quarto_braceria_e_vineria_42.2090_12.4812,Quarto Braceria e Vineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/quarto_braceria_e_vineria_42.2090_12.4812.json,custom
