# lat,lng,id,name,building_type,type,url,page_type
# Monte Porzio Catone -- Tutti
41.817539,12.715024,osm_biologo_nutrizionista_41.8175_12.7150,Biologo Nutrizionista,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/biologo_nutrizionista_41.8175_12.7150.json,custom
41.761940,12.355765,ov_la_cantina_dei_vini_41.7619_12.3558,La cantina dei vini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/la_cantina_dei_vini_41.7619_12.3558.json,custom
41.530513,12.744141,ov_epos_bistrot_41.5305_12.7441,Epos Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/epos_bistrot_41.5305_12.7441.json,custom
41.808966,12.699795,ov_la_locanda_nel_parco_41.8090_12.6998,La Locanda nel Parco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/la_locanda_nel_parco_41.8090_12.6998.json,custom
41.809809,12.726341,ov_hosteria_amedeo_41.8098_12.7263,Hosteria Amedeo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/hosteria_amedeo_41.8098_12.7263.json,custom
41.814788,12.716515,ov_zero_pizzerie_41.8148_12.7165,Zero Pizzerie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/zero_pizzerie_41.8148_12.7165.json,custom
41.815192,12.711940,ov_la_locanda_nel_parco_41.8152_12.7119,La Locanda nel Parco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/la_locanda_nel_parco_41.8152_12.7119.json,custom
41.813438,12.713134,ov_la_lanterna_di_amer_magdi_41.8134_12.7131,La Lanterna di Amer Magdi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/la_lanterna_di_amer_magdi_41.8134_12.7131.json,custom
41.812063,12.716197,ov_appizzace_41.8121_12.7162,Appizzace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/appizzace_41.8121_12.7162.json,custom
41.816865,12.703279,ov_bulbi_di_zafferano_41.8169_12.7033,Bulbi di Zafferano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/bulbi_di_zafferano_41.8169_12.7033.json,custom
41.821285,12.703533,ov_la_camera_da_pranzo_41.8213_12.7035,La Camera da Pranzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/la_camera_da_pranzo_41.8213_12.7035.json,custom
41.821174,12.707147,ov_palatoraffinato_risto_41.8212_12.7071,Palatoraffinato risto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/palatoraffinato_risto_41.8212_12.7071.json,custom
41.816971,12.715339,ov_osteria_il_tinello_41.8170_12.7153,Osteria Il Tinello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/osteria_il_tinello_41.8170_12.7153.json,custom
41.816761,12.713389,ov_rosso_di_sera_41.8168_12.7134,Rosso di Sera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/rosso_di_sera_41.8168_12.7134.json,custom
41.815991,12.713422,ov_da_bruno_e_adriana_41.8160_12.7134,Da Bruno e Adriana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/da_bruno_e_adriana_41.8160_12.7134.json,custom
41.816427,12.714662,ov_pizzeria_alex_41.8164_12.7147,Pizzeria Alex,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/pizzeria_alex_41.8164_12.7147.json,custom
41.816273,12.715023,ov_pizzampo_pizzeria_41.8163_12.7150,Pizzampo Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/pizzampo_pizzeria_41.8163_12.7150.json,custom
41.816242,12.715366,ov_mpo__alla_fraschetta_41.8162_12.7154,MPO' alla Fraschetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/mpo_alla_fraschetta_41.8162_12.7154.json,custom
41.816515,12.715480,ov_a_prua_41.8165_12.7155,A Prua,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/a_prua_41.8165_12.7155.json,custom
41.815851,12.715504,ov_cantina_romoletto_41.8159_12.7155,Cantina Romoletto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/cantina_romoletto_41.8159_12.7155.json,custom
41.816365,12.722896,ov_il_monticello_41.8164_12.7229,Il Monticello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/il_monticello_41.8164_12.7229.json,custom
41.817690,12.694090,ov_albicocca_pizzeria_41.8177_12.6941,Albicocca Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/albicocca_pizzeria_41.8177_12.6941.json,custom
41.829154,12.708347,osm_le_grotte_del_borgo_41.8292_12.7083,Le Grotte del Borgo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/le_grotte_del_borgo_41.8292_12.7083.json,custom
41.809932,12.698098,osm_agriturismo_la_selvina_41.8099_12.6981,Agriturismo La Selvina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/agriturismo_la_selvina_41.8099_12.6981.json,custom
41.808179,12.700224,osm_parco_catone_41.8082_12.7002,Parco Catone,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/parco_catone_41.8082_12.7002.json,custom
41.815187,12.716642,ov_bar_pasticceria_roma_41.8152_12.7166,Bar Pasticceria Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/bar_pasticceria_roma_41.8152_12.7166.json,custom
41.812933,12.717638,ov_romespresso_monte_porzio_catone_41.8129_12.7176,Romespresso Monte Porzio Catone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/romespresso_monte_porzio_catone_41.8129_12.7176.json,custom
