# lat,lng,id,name,building_type,type,url,page_type
# vitulazio -- Tutti
41.119259,14.200644,ov_clinica_villa_fiorita_capua_41.1193_14.2006,Clinica Villa Fiorita Capua,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/clinica_villa_fiorita_capua_41.1193_14.2006.json,custom
41.158142,14.174514,ov_lo_scoglio_41.1581_14.1745,Lo Scoglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/lo_scoglio_41.1581_14.1745.json,custom
41.154610,14.178330,ov_ristorante_pizzeria_surprise_41.1546_14.1783,Ristorante Pizzeria Surprise,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/ristorante_pizzeria_surprise_41.1546_14.1783.json,custom
41.154610,14.178330,ov_rma_la_sosta_41.1546_14.1783,RMA La Sosta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/rma_la_sosta_41.1546_14.1783.json,custom
41.154540,14.178578,ov_bufala_abc__agricola_casearia_bufalina_41.1545_14.1786,Bufala ABC: Agricola Casearia Bufalina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/bufala_abc_agricola_casearia_bufalina_41.1545_14.1786.json,custom
41.152093,14.178669,ov_napuleone_41.1521_14.1787,Napuleone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/napuleone_41.1521_14.1787.json,custom
41.140139,14.188023,ov_la_meta_41.1401_14.1880,La Meta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/la_meta_41.1401_14.1880.json,custom
41.138452,14.190170,ov_hotelleria_italia_41.1385_14.1902,Hotelleria Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/hotelleria_italia_41.1385_14.1902.json,custom
41.162671,14.213606,ov_cavaiuolo_41.1627_14.2136,Cavaiuolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/cavaiuolo_41.1627_14.2136.json,custom
41.163164,14.220069,ov_ciak_si_pizza_41.1632_14.2201,Ciak Si Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/ciak_si_pizza_41.1632_14.2201.json,custom
41.163238,14.219676,ov_gusto_campano_41.1632_14.2197,Gusto Campano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/gusto_campano_41.1632_14.2197.json,custom
