# lat,lng,id,name,building_type,type,url,page_type
# Farra di Soligo -- Tutti
45.896936,12.088616,ov_locanda_da_condo_45.8969_12.0886,Locanda da Condo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/locanda_da_condo_45.8969_12.0886.json,custom
45.900420,12.109983,ov_trattoria_pizzeria_alla_bona_45.9004_12.1100,Trattoria Pizzeria Alla Bona,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/trattoria_pizzeria_alla_bona_45.9004_12.1100.json,custom
45.904823,12.119629,ov_me_gusta_di_ciribolla_airis_45.9048_12.1196,Me Gusta Di Ciribolla Airis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/me_gusta_di_ciribolla_airis_45.9048_12.1196.json,custom
45.905970,12.109942,ov_agriturismo_al_credazzo_45.9060_12.1099,Agriturismo Al Credazzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/agriturismo_al_credazzo_45.9060_12.1099.json,custom
45.920289,12.127642,ov_ristoro_collag__45.9203_12.1276,Ristoro Collagù,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/ristoro_collag_45.9203_12.1276.json,custom
45.905715,12.159570,osm_trattoria_addis_abeba_45.9057_12.1596,Trattoria Addis Abeba,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/trattoria_addis_abeba_45.9057_12.1596.json,custom
45.907639,12.134401,osm_osteria_alla_baracca_45.9076_12.1344,Osteria alla Baracca,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/osteria_alla_baracca_45.9076_12.1344.json,custom
45.906045,12.109908,osm_al_credazzo_45.9060_12.1099,Al Credazzo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/al_credazzo_45.9060_12.1099.json,custom
45.908406,12.134512,osm_pizzeria_la_vacamatta_45.9084_12.1345,Pizzeria La VacaMatta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/pizzeria_la_vacamatta_45.9084_12.1345.json,custom
45.906416,12.158612,osm_tonino_pizza_45.9064_12.1586,Tonino Pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/tonino_pizza_45.9064_12.1586.json,custom
45.902015,12.080531,ov_da_botton_45.9020_12.0805,Da Botton,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/da_botton_45.9020_12.0805.json,custom
45.896013,12.085224,ov_emporio_superiore_45.8960_12.0852,Emporio Superiore,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/emporio_superiore_45.8960_12.0852.json,custom
45.894840,12.085685,ov_pasticceria_caffetteria_cargnello_45.8948_12.0857,Pasticceria Caffetteria Cargnello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/pasticceria_caffetteria_cargnello_45.8948_12.0857.json,custom
45.895298,12.086999,ov_bar_sport_45.8953_12.0870,Bar Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/bar_sport_45.8953_12.0870.json,custom
