# lat,lng,id,name,building_type,type,url,page_type
# Codigoro -- Tutti
44.826040,12.110605,ov_veterinario_rossi_l__codigoro__fe__44.8260_12.1106,Veterinario ROSSI L. Codigoro (FE),HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/veterinario_rossi_l_codigoro_fe_44.8260_12.1106.json,custom
44.922085,12.004721,ov_home_restaurant_il_delfino_44.9221_12.0047,Home restaurant il Delfino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/home_restaurant_il_delfino_44.9221_12.0047.json,custom
44.834433,12.106865,ov_l_altra_pizza_44.8344_12.1069,L'Altra Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/laltra_pizza_44.8344_12.1069.json,custom
44.832251,12.109233,ov_che_pizza_44.8323_12.1092,Che Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/che_pizza_44.8323_12.1092.json,custom
44.831069,12.109244,ov_gambero_rosso_44.8311_12.1092,Gambero Rosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/gambero_rosso_44.8311_12.1092.json,custom
44.830195,12.107570,ov_da_shen_44.8302_12.1076,Da Shen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/da_shen_44.8302_12.1076.json,custom
44.831150,12.107937,ov_monkey_pinsa_pizza_44.8312_12.1079,Monkey pinsa&pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/monkey_pinsapizza_44.8312_12.1079.json,custom
44.831100,12.106278,ov_l_arte_della_pasta_44.8311_12.1063,L'Arte Della Pasta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/larte_della_pasta_44.8311_12.1063.json,custom
44.831326,12.104655,ov_gastronomia_la_terrazza_44.8313_12.1047,Gastronomia La Terrazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/gastronomia_la_terrazza_44.8313_12.1047.json,custom
44.835348,12.102590,ov_ristorante_piadineria_l_p__one_44.8353_12.1026,Ristorante Piadineria L.P. One,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/ristorante_piadineria_lp_one_44.8353_12.1026.json,custom
44.829573,12.167786,ov_oasi_bianca_44.8296_12.1678,OASI Bianca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/oasi_bianca_44.8296_12.1678.json,custom
44.832741,12.175585,ov_la_cueva_pomposa_44.8327_12.1756,La Cueva Pomposa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/la_cueva_pomposa_44.8327_12.1756.json,custom
44.854946,12.174721,ov_casa_e_bottega_44.8549_12.1747,Casa e Bottega,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/casa_e_bottega_44.8549_12.1747.json,custom
44.852070,12.165390,ov_ristorante_primavera_44.8521_12.1654,Ristorante Primavera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/ristorante_primavera_44.8521_12.1654.json,custom
44.834394,12.153696,ov_il_dosso_agriturismo_44.8344_12.1537,Il Dosso Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/il_dosso_agriturismo_44.8344_12.1537.json,custom
44.860814,12.148718,ov_dajpizza_44.8608_12.1487,Dajpizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/dajpizza_44.8608_12.1487.json,custom
44.859992,12.182708,ov_ristorante_primavera_44.8600_12.1827,Ristorante Primavera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/ristorante_primavera_44.8600_12.1827.json,custom
44.876122,12.197410,ov_bar_piadineria_la_farfalla_44.8761_12.1974,Bar Piadineria LA FARFALLA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/bar_piadineria_la_farfalla_44.8761_12.1974.json,custom
44.901386,12.098672,ov_sapori_di_mare_di_andrea_smiderle_44.9014_12.0987,Sapori di Mare di Andrea Smiderle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/sapori_di_mare_di_andrea_smiderle_44.9014_12.0987.json,custom
44.902490,12.098590,ov_max_gio_44.9025_12.0986,Max&Gio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/maxgio_44.9025_12.0986.json,custom
44.867496,12.044987,ov_la_capanna_di_eraclio_44.8675_12.0450,La Capanna Di Eraclio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/la_capanna_di_eraclio_44.8675_12.0450.json,custom
