# lat,lng,id,name,building_type,type,url,page_type
# Capodrise -- Tutti
41.040932,14.307217,ov_marcianise__ce__41.0409_14.3072,Marcianise (CE),HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/marcianise_ce_41.0409_14.3072.json,custom
41.048350,14.299620,ov_pizzeria_bianco_di_farina_41.0483_14.2996,Pizzeria Bianco di Farina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/pizzeria_bianco_di_farina_41.0483_14.2996.json,custom
41.045802,14.299598,ov_tudisco_pizzeria_41.0458_14.2996,Tudisco Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/tudisco_pizzeria_41.0458_14.2996.json,custom
41.045711,14.299683,ov_la_vera_pizza_napoletana_da_francesco____41.0457_14.2997,La Vera Pizza Napoletana Da Francesco - Simpson,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/la_vera_pizza_napoletana_da_francesco_-__41.0457_14.2997.json,custom
41.044621,14.299340,ov_la_locanda_del_marchese_41.0446_14.2993,La Locanda del Marchese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/la_locanda_del_marchese_41.0446_14.2993.json,custom
41.043683,14.299376,ov_quick_break_srl_41.0437_14.2994,Quick Break SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/quick_break_srl_41.0437_14.2994.json,custom
41.040402,14.299535,ov_pizza_casa__41.0404_14.2995,Pizza casa.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/pizza_casa_41.0404_14.2995.json,custom
41.040043,14.302974,ov_ristorante_don_bosco_41.0400_14.3030,Ristorante Don Bosco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/ristorante_don_bosco_41.0400_14.3030.json,custom
41.040894,14.305644,ov_anima_e_grano_41.0409_14.3056,Anima e Grano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/anima_e_grano_41.0409_14.3056.json,custom
41.041280,14.307741,ov_gusto_41.0413_14.3077,Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/gusto_41.0413_14.3077.json,custom
41.038770,14.311960,ov_pizzeria_masaniello_41.0388_14.3120,Pizzeria Masaniello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/pizzeria_masaniello_41.0388_14.3120.json,custom
41.037251,14.317969,ov_uah_burger_41.0373_14.3180,UAH Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/uah_burger_41.0373_14.3180.json,custom
41.040853,14.324319,ov_ristobar_quick_break_41.0409_14.3243,Ristobar Quick Break,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/ristobar_quick_break_41.0409_14.3243.json,custom
