# lat,lng,id,name,building_type,type,url,page_type
# Mozzate -- Tutti
45.679102,8.946118,osm_la_nuova_tout_fait_45.6791_8.9461,La Nuova Tout Fait,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/la_nuova_tout_fait_45.6791_8.9461.json,custom
45.670009,8.963488,osm_qu_ter_e_tri_sett_45.6700_8.9635,Quàter e Tri Sett,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/quter_e_tri_sett_45.6700_8.9635.json,custom
45.679258,8.946682,ov_koukounari_caf__45.6793_8.9467,Koukounari Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/koukounari_caf_45.6793_8.9467.json,custom
45.678965,8.946198,ov_bogot__distrito_central_cafe__45.6790_8.9462,Bogotà distrito central cafe',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/bogot_distrito_central_cafe_45.6790_8.9462.json,custom
45.677425,8.956370,ov_pasticceria_caffetteria_barbara_45.6774_8.9564,Pasticceria Caffetteria Barbara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/pasticceria_caffetteria_barbara_45.6774_8.9564.json,custom
45.676121,8.949964,ov_stuzzibar_45.6761_8.9500,Stuzzibar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/stuzzibar_45.6761_8.9500.json,custom
45.666790,8.962287,ov_7_secolo_45.6668_8.9623,7 Secolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/7_secolo_45.6668_8.9623.json,custom
45.668018,8.961098,ov_pasticceria_e_caff__moro_45.6680_8.9611,Pasticceria e Caffè Moro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/pasticceria_e_caff_moro_45.6680_8.9611.json,custom
45.667490,8.961310,ov_jawhara_disco_pub_45.6675_8.9613,Jawhara Disco Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/jawhara_disco_pub_45.6675_8.9613.json,custom
45.669841,8.958868,ov_pasticceria_miragusto_45.6698_8.9589,Pasticceria Miragusto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/pasticceria_miragusto_45.6698_8.9589.json,custom
45.671018,8.958163,ov_garage_bar_45.6710_8.9582,Garage Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/garage_bar_45.6710_8.9582.json,custom
45.676668,8.948844,ov_bar_la_varesina_mozzate_45.6767_8.9488,Bar La varesina mozzate,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/bar_la_varesina_mozzate_45.6767_8.9488.json,custom
45.674974,8.954939,osm_bar_centrale_45.6750_8.9549,Bar Centrale,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/bar_centrale_45.6750_8.9549.json,custom
