# lat,lng,id,name,building_type,type,url,page_type
# Valverde -- Tutti
37.581062,15.124780,ov_studio_polispecialistico_omnia_della_dot_37.5811_15.1248,Studio polispecialistico OMNIA della Dott.ssa Coltellaro,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/studio_polispecialistico_omnia_della_dot_37.5811_15.1248.json,custom
37.565478,15.122550,ov_masseria_la_timpa_37.5655_15.1226,Masseria La Timpa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/masseria_la_timpa_37.5655_15.1226.json,custom
37.569620,15.132282,ov_ristorante_pizzeria_casalrosato_valverde_37.5696_15.1323,Ristorante Pizzeria Casalrosato Valverde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/ristorante_pizzeria_casalrosato_valverde_37.5696_15.1323.json,custom
37.573072,15.127581,ov_tenuta_carminello_37.5731_15.1276,Tenuta Carminello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/tenuta_carminello_37.5731_15.1276.json,custom
37.574540,15.131550,ov_perla_events___banqueting_valverde_37.5745_15.1316,Perla Events & Banqueting Valverde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/perla_events_banqueting_valverde_37.5745_15.1316.json,custom
37.578571,15.124612,ov_tutto_pizza___valverde_ct_37.5786_15.1246,Tutto Pizza - Valverde CT,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/tutto_pizza_-_valverde_ct_37.5786_15.1246.json,custom
37.578577,15.122542,ov_girarrosto_valverde_37.5786_15.1225,Girarrosto Valverde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/girarrosto_valverde_37.5786_15.1225.json,custom
37.578443,15.122207,ov_al_nuovo_caprice_2_37.5784_15.1222,Al nuovo caprice 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/al_nuovo_caprice_2_37.5784_15.1222.json,custom
37.578296,15.118926,ov_panineria_37.5783_15.1189,Panineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/panineria_37.5783_15.1189.json,custom
37.578945,15.123547,ov_quattro_elementi_37.5789_15.1235,Quattro Elementi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/quattro_elementi_37.5789_15.1235.json,custom
37.578925,15.123659,ov_cazzalora_37.5789_15.1237,Cazzalora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/cazzalora_37.5789_15.1237.json,custom
