# lat,lng,id,name,building_type,type,url,page_type
# druento -- Tutti
45.101790,7.521820,ov_medicina25_45.1018_7.5218,Medicina25,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/medicina25_45.1018_7.5218.json,custom
45.151875,7.568978,ov_la_tavola_del_re_45.1519_7.5690,La Tavola del Re,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/la_tavola_del_re_45.1519_7.5690.json,custom
45.143537,7.570632,ov_casotto_del_cervo_45.1435_7.5706,Casotto del Cervo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/casotto_del_cervo_45.1435_7.5706.json,custom
45.138374,7.575459,ov_oca___onnivori_con_appetito_45.1384_7.5755,OCA - Onnivori Con Appetito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/oca_-_onnivori_con_appetito_45.1384_7.5755.json,custom
45.138907,7.574430,ov_rosa_d_oro_45.1389_7.5744,Rosa d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/rosa_doro_45.1389_7.5744.json,custom
45.136018,7.576322,ov_la_pace_45.1360_7.5763,La Pace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/la_pace_45.1360_7.5763.json,custom
45.133917,7.577027,ov_ristorante_la_mandragola_45.1339_7.5770,Ristorante La Mandragola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/ristorante_la_mandragola_45.1339_7.5770.json,custom
45.133045,7.576421,ov_pizzeria_doppiozero_druento_45.1330_7.5764,Pizzeria DoppioZero Druento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/pizzeria_doppiozero_druento_45.1330_7.5764.json,custom
45.133014,7.599068,ov_cascina_i_merli_45.1330_7.5991,Cascina I Merli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/cascina_i_merli_45.1330_7.5991.json,custom
45.131780,7.586540,ov_makkeroni_45.1318_7.5865,Makkeroni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/makkeroni_45.1318_7.5865.json,custom
45.128322,7.582898,ov_il_forno_cmlab_druento_45.1283_7.5829,Il Forno CMlab Druento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/il_forno_cmlab_druento_45.1283_7.5829.json,custom
45.127935,7.583176,ov_pizzeria_da_angelo_45.1279_7.5832,Pizzeria da Angelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/pizzeria_da_angelo_45.1279_7.5832.json,custom
45.129930,7.583710,ov_ristorante_dropiluc_45.1299_7.5837,Ristorante Dropiluc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/ristorante_dropiluc_45.1299_7.5837.json,custom
