# lat,lng,id,name,building_type,type,url,page_type
# Alta Valle Intelvi -- Tutti
45.993216,9.039547,ov_cof_lanzo_hospital_45.9932_9.0395,COF Lanzo Hospital,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/cof_lanzo_hospital_45.9932_9.0395.json,custom
45.968901,9.001523,ov_la_baita_lanzo_45.9689_9.0015,La Baita Lanzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/la_baita_lanzo_45.9689_9.0015.json,custom
45.978776,9.021057,ov_trattoria_dell_aquila_45.9788_9.0211,Trattoria dell'Aquila,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/trattoria_dellaquila_45.9788_9.0211.json,custom
45.979197,9.021374,ov_cristal_domino_45.9792_9.0214,Cristal Domino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/cristal_domino_45.9792_9.0214.json,custom
45.976438,9.044537,ov_la_locanda_del_notaio_45.9764_9.0445,La Locanda del Notaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/la_locanda_del_notaio_45.9764_9.0445.json,custom
45.976876,9.027485,ov_ristorante_bar_ranch_augusto_45.9769_9.0275,Ristorante Bar Ranch Augusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/ristorante_bar_ranch_augusto_45.9769_9.0275.json,custom
45.994256,9.032002,ov_bar_pizzeria_ristorante_la_terrazza_45.9943_9.0320,Bar Pizzeria Ristorante La Terrazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/bar_pizzeria_ristorante_la_terrazza_45.9943_9.0320.json,custom
45.992643,9.042548,ov_agriturismo_la_nevera_45.9926_9.0425,Agriturismo La Nevera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/agriturismo_la_nevera_45.9926_9.0425.json,custom
45.990023,9.045830,ov_rondanino_ristorante_hotel_45.9900_9.0458,Rondanino Ristorante Hotel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/rondanino_ristorante_hotel_45.9900_9.0458.json,custom
45.977226,9.038754,ov_agriturismo_al_casel_45.9772_9.0388,Agriturismo Al Casel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/agriturismo_al_casel_45.9772_9.0388.json,custom
45.978941,9.022319,ov_bar_teatro_di_arioli_fiorella_45.9789_9.0223,Bar Teatro Di Arioli Fiorella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/bar_teatro_di_arioli_fiorella_45.9789_9.0223.json,custom
45.979033,9.022030,ov_vineria_monica_45.9790_9.0220,Vineria Monica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/vineria_monica_45.9790_9.0220.json,custom
45.979064,9.021244,ov_bar_la_risorgente_45.9791_9.0212,Bar La Risorgente,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/bar_la_risorgente_45.9791_9.0212.json,custom
45.979168,9.021620,ov_affresco_pub_45.9792_9.0216,Affresco pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/affresco_pub_45.9792_9.0216.json,custom
45.979104,9.022311,ov_bar_volta_45.9791_9.0223,Bar Volta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/bar_volta_45.9791_9.0223.json,custom
45.980875,9.026094,ov_bar_fiumberti_45.9809_9.0261,Bar Fiumberti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/bar_fiumberti_45.9809_9.0261.json,custom
45.976440,9.006230,ov_chiosco_sighignola_45.9764_9.0062,Chiosco Sighignola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/chiosco_sighignola_45.9764_9.0062.json,custom
45.994036,9.031873,ov_buena_vista_disco_pub_45.9940_9.0319,Buena Vista Disco Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/buena_vista_disco_pub_45.9940_9.0319.json,custom
45.986540,9.039190,ov_chic_cafe__45.9865_9.0392,CHIC CAFE',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/chic_cafe_45.9865_9.0392.json,custom
45.980145,9.065495,ov_bar_tabaccheria_time_45.9801_9.0655,Bar Tabaccheria Time,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/bar_tabaccheria_time_45.9801_9.0655.json,custom
45.981086,9.022210,ov_monastero_retreat_45.9811_9.0222,Monastero Retreat,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/monastero_retreat_45.9811_9.0222.json,custom
45.980757,9.022141,ov_villa_turconi___alta_valle_intelvi_45.9808_9.0221,Villa Turconi - Alta Valle Intelvi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/villa_turconi_-_alta_valle_intelvi_45.9808_9.0221.json,custom
45.986572,9.045203,ov_museo_d_arte_sacra_di_scaria_45.9866_9.0452,Museo d’Arte Sacra di Scaria,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/museo_darte_sacra_di_scaria_45.9866_9.0452.json,custom
45.980979,9.049576,ov_marks_arboretum_intelvi_45.9810_9.0496,MARKS Arboretum Intelvi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alta_valle_intelvi/pages/marks_arboretum_intelvi_45.9810_9.0496.json,custom
