# lat,lng,id,name,building_type,type,url,page_type
# chiusi_della_verna -- Tutti
43.681379,11.829087,ov_studi_medici_corsalone_43.6814_11.8291,Studi Medici Corsalone,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chiusi_della_verna/pages/studi_medici_corsalone_43.6814_11.8291.json,custom
43.746829,11.923840,osm_osteria_il_vecchio_ponte_43.7468_11.9238,Osteria il vecchio Ponte,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chiusi_della_verna/pages/osteria_il_vecchio_ponte_43.7468_11.9238.json,custom
43.758656,11.932849,ov_birrificio_agricolo_fatucchio_43.7587_11.9328,Birrificio Agricolo Fatucchio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chiusi_della_verna/pages/birrificio_agricolo_fatucchio_43.7587_11.9328.json,custom
43.758676,11.932599,ov_podere_fatucchio_43.7587_11.9326,Podere Fatucchio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chiusi_della_verna/pages/podere_fatucchio_43.7587_11.9326.json,custom
43.699248,11.935571,osm_bar_ristorante_bellavista_43.6992_11.9356,Bar Ristorante Bellavista,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chiusi_della_verna/pages/bar_ristorante_bellavista_43.6992_11.9356.json,custom
43.697376,11.936761,osm_easy_bar_43.6974_11.9368,Easy Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chiusi_della_verna/pages/easy_bar_43.6974_11.9368.json,custom
43.682816,11.836342,ov_centro_sociale_corsalone_43.6828_11.8363,Centro Sociale Corsalone,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chiusi_della_verna/pages/centro_sociale_corsalone_43.6828_11.8363.json,custom
43.699180,11.934860,ov_i_cavalli_di_aqaba_43.6992_11.9349,I Cavalli Di Aqaba,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chiusi_della_verna/pages/i_cavalli_di_aqaba_43.6992_11.9349.json,custom
43.767960,11.917801,ov_centrosociale_corsalone_43.7680_11.9178,Centrosociale Corsalone,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chiusi_della_verna/pages/centrosociale_corsalone_43.7680_11.9178.json,custom
43.698010,11.933590,ov_biblioteca_comunale_fratello_sole_sorell_43.6980_11.9336,Biblioteca Comunale Fratello Sole Sorella Luna,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chiusi_della_verna/pages/biblioteca_comunale_fratello_sole_sorell_43.6980_11.9336.json,custom
43.707275,11.930608,osm_biblioteca_monumentale_della_verna_43.7073_11.9306,Biblioteca monumentale della Verna,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chiusi_della_verna/pages/biblioteca_monumentale_della_verna_43.7073_11.9306.json,custom
43.697528,11.932848,osm_biblioteca_comunale_43.6975_11.9328,Biblioteca comunale,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chiusi_della_verna/pages/biblioteca_comunale_43.6975_11.9328.json,custom
