# lat,lng,id,name,building_type,type,url,page_type
# Tiriolo -- Tutti
38.902520,16.532430,ov_san_francesco_hospital_38.9025_16.5324,San Francesco Hospital,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/san_francesco_hospital_38.9025_16.5324.json,custom
38.963200,16.508421,ov_il_casale_di_d_avalos_hotel___ristorante_38.9632_16.5084,IL Casale DI D'avalos Hotel - ristorante - pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/il_casale_di_davalos_hotel_-_ristorante__38.9632_16.5084.json,custom
38.948603,16.509830,ov_colle_del_signore_38.9486_16.5098,Colle Del Signore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/colle_del_signore_38.9486_16.5098.json,custom
38.941100,16.509896,ov_the_pink_panther_pizzeria_paninoteca_38.9411_16.5099,The Pink Panther Pizzeria Paninoteca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/the_pink_panther_pizzeria_paninoteca_38.9411_16.5099.json,custom
38.941271,16.509927,ov_il_casale_di_d_avalos_38.9413_16.5099,Il Casale di D'Avalos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/il_casale_di_davalos_38.9413_16.5099.json,custom
38.944771,16.508678,ov_il_ponticello_38.9448_16.5087,Il Ponticello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/il_ponticello_38.9448_16.5087.json,custom
38.944122,16.507360,ov_ristorante_al_mulino_38.9441_16.5074,Ristorante Al Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/ristorante_al_mulino_38.9441_16.5074.json,custom
38.949001,16.507338,ov_ristorante_due_mari_38.9490_16.5073,Ristorante Due Mari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/ristorante_due_mari_38.9490_16.5073.json,custom
38.902856,16.532536,ov_le_querce_country_restaurant_38.9029_16.5325,Le Querce Country Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/le_querce_country_restaurant_38.9029_16.5325.json,custom
38.911661,16.533925,ov_bar_critelli_pratora_38.9117_16.5339,Bar Critelli Pratora,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/bar_critelli_pratora_38.9117_16.5339.json,custom
38.950148,16.511372,ov_bar_san_nicola_38.9501_16.5114,Bar San Nicola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/bar_san_nicola_38.9501_16.5114.json,custom
38.947344,16.508743,ov_bick_s_pub_38.9473_16.5087,Bick's Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/bicks_pub_38.9473_16.5087.json,custom
38.947498,16.508603,ov_platinum_caf__38.9475_16.5086,Platinum cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/platinum_caf_38.9475_16.5086.json,custom
38.947498,16.508603,ov_bar_mauro_38.9475_16.5086,Bar Mauro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/bar_mauro_38.9475_16.5086.json,custom
38.947556,16.509196,ov_la_plaza_caf__38.9476_16.5092,La Plaza Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/la_plaza_caf_38.9476_16.5092.json,custom
38.945190,16.508970,ov_bar_time_out_38.9452_16.5090,Bar Time Out,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/bar_time_out_38.9452_16.5090.json,custom
38.944018,16.509480,ov_iuliano_group_38.9440_16.5095,Iuliano Group,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/iuliano_group_38.9440_16.5095.json,custom
38.940390,16.510570,ov_power_gym_studio_38.9404_16.5106,Power Gym Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/power_gym_studio_38.9404_16.5106.json,custom
38.940719,16.509705,ov_asd_la_carmen_38.9407_16.5097,ASD La Carmen,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/asd_la_carmen_38.9407_16.5097.json,custom
38.947461,16.508725,ov_palazzo_alemanni_38.9475_16.5087,Palazzo Alemanni,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/palazzo_alemanni_38.9475_16.5087.json,custom
38.945772,16.507541,ov_antiquarium_civico_38.9458_16.5075,Antiquarium Civico,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/antiquarium_civico_38.9458_16.5075.json,custom
38.945843,16.507522,ov_polo_museale_di_tiriolo_antica_38.9458_16.5075,Polo Museale di Tiriolo Antica,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/polo_museale_di_tiriolo_antica_38.9458_16.5075.json,custom
38.903364,16.531855,osm_poste_italiane_38.9034_16.5319,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/poste_italiane_38.9034_16.5319.json,custom
38.946032,16.507418,osm_biblioteca_comunale_38.9460_16.5074,Biblioteca comunale,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tiriolo/pages/biblioteca_comunale_38.9460_16.5074.json,custom
