# lat,lng,id,name,building_type,type,url,page_type
# trepuzzi -- Tutti
40.399744,18.074705,ov_policlinico_di_bari_40.3997_18.0747,Policlinico Di Bari,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trepuzzi/pages/policlinico_di_bari_40.3997_18.0747.json,custom
40.400730,18.080999,ov_la_graticola_da_donato_pizzeria_trattori_40.4007_18.0810,"La Graticola Da Donato Pizzeria,Trattoria,B&B",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trepuzzi/pages/la_graticola_da_donato_pizzeriatrattoria_40.4007_18.0810.json,custom
40.401663,18.070713,ov_pizzeria_ristorante_felix_di_ranieri_giu_40.4017_18.0707,Pizzeria Ristorante Felix Di Ranieri Giuseppe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trepuzzi/pages/pizzeria_ristorante_felix_di_ranieri_giu_40.4017_18.0707.json,custom
40.401687,18.070981,ov_p20lab_bistrot_40.4017_18.0710,P20Lab Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trepuzzi/pages/p20lab_bistrot_40.4017_18.0710.json,custom
40.398227,18.056563,ov_masseria_pezzuti_40.3982_18.0566,Masseria Pezzuti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trepuzzi/pages/masseria_pezzuti_40.3982_18.0566.json,custom
40.403255,18.068603,ov_i_tesori_della_buona_terra_40.4033_18.0686,I Tesori della Buona Terra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trepuzzi/pages/i_tesori_della_buona_terra_40.4033_18.0686.json,custom
40.404748,18.071513,ov_tre_pozzi_40.4047_18.0715,Tre Pozzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trepuzzi/pages/tre_pozzi_40.4047_18.0715.json,custom
40.404752,18.070413,ov_pizzeria_marechiaro_trepuzzi___le_40.4048_18.0704,Pizzeria Marechiaro Trepuzzi - LE,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trepuzzi/pages/pizzeria_marechiaro_trepuzzi_-_le_40.4048_18.0704.json,custom
40.405442,18.069968,ov_pizzeria_rosticceria_italia_90_40.4054_18.0700,Pizzeria Rosticceria Italia 90,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trepuzzi/pages/pizzeria_rosticceria_italia_90_40.4054_18.0700.json,custom
40.405619,18.071055,ov_al_rusticone_da_nino_40.4056_18.0711,Al Rusticone da Nino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trepuzzi/pages/al_rusticone_da_nino_40.4056_18.0711.json,custom
40.405784,18.070737,ov_la_dolce_vita_40.4058_18.0707,La Dolce Vita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trepuzzi/pages/la_dolce_vita_40.4058_18.0707.json,custom
40.406418,18.077272,ov_pizzeria_o_sole_mio_40.4064_18.0773,Pizzeria O Sole Mio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trepuzzi/pages/pizzeria_o_sole_mio_40.4064_18.0773.json,custom
40.410204,18.074821,ov_gusto_divino_trepuzzi_40.4102_18.0748,Gusto Divino Trepuzzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trepuzzi/pages/gusto_divino_trepuzzi_40.4102_18.0748.json,custom
40.410293,18.070594,ov_bella_vida_lounge_bar___bella_vida_grill_40.4103_18.0706,Bella Vida Lounge Bar & Bella Vida Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trepuzzi/pages/bella_vida_lounge_bar_bella_vida_grill_40.4103_18.0706.json,custom
