# lat,lng,id,name,building_type,type,url,page_type
# san_mauro_torinese -- Tutti
45.107417,7.758364,ov_asl_4_san_mauro_torinese_45.1074_7.7584,Asl 4 San Mauro Torinese,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/asl_4_san_mauro_torinese_45.1074_7.7584.json,custom
45.113670,7.759020,ov_ristorazione_terra_e_mare_45.1137_7.7590,Ristorazione Terra e Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/ristorazione_terra_e_mare_45.1137_7.7590.json,custom
45.107661,7.759700,ov_villa_bocca_45.1077_7.7597,Villa Bocca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/villa_bocca_45.1077_7.7597.json,custom
45.103160,7.760026,ov_lova_food___drink_45.1032_7.7600,Lova food & drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/lova_food_drink_45.1032_7.7600.json,custom
45.103724,7.759687,ov_benito_45.1037_7.7597,Benito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/benito_45.1037_7.7597.json,custom
45.103137,7.754462,ov_matsuri_45.1031_7.7545,Matsuri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/matsuri_45.1031_7.7545.json,custom
45.102937,7.754431,ov_pizzeria_roma_81_45.1029_7.7544,Pizzeria Roma 81,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/pizzeria_roma_81_45.1029_7.7544.json,custom
45.107392,7.750799,ov_ciaccia_san_mauro_torinese_45.1074_7.7508,Ciaccia San Mauro torinese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/ciaccia_san_mauro_torinese_45.1074_7.7508.json,custom
45.107681,7.751333,ov_mangia_come_parli_45.1077_7.7513,Mangia Come Parli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/mangia_come_parli_45.1077_7.7513.json,custom
45.106947,7.745485,ov_ronchi_7_45.1069_7.7455,Ronchi 7,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/ronchi_7_45.1069_7.7455.json,custom
45.106870,7.745440,ov_self_service_bar_free_flow_45.1069_7.7454,Self Service Bar Free Flow,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/self_service_bar_free_flow_45.1069_7.7454.json,custom
45.118708,7.739779,ov_sushi_club_san_mauro_45.1187_7.7398,Sushi Club San Mauro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/sushi_club_san_mauro_45.1187_7.7398.json,custom
45.117058,7.739037,ov_tassobarbasso_45.1171_7.7390,Tassobarbasso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/tassobarbasso_45.1171_7.7390.json,custom
45.116069,7.744255,ov_3_gemelli_45.1161_7.7443,3 Gemelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/3_gemelli_45.1161_7.7443.json,custom
45.121556,7.741660,ov_brek__i_feel_food_45.1216_7.7417,"Brek, I Feel Food",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/brek_i_feel_food_45.1216_7.7417.json,custom
45.121589,7.741528,ov_mcdonald_s_45.1216_7.7415,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/mcdonalds_45.1216_7.7415.json,custom
45.122299,7.740955,ov_ristornate_la_piazzetta_ex_mache____c_c__45.1223_7.7410,Ristornate La Piazzetta Ex Mache' - C.C. Pam Panorama San Ma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/ristornate_la_piazzetta_ex_mache_-_cc_pa_45.1223_7.7410.json,custom
45.122125,7.740769,ov_burger_king_45.1221_7.7408,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/burger_king_45.1221_7.7408.json,custom
45.091134,7.745722,ov_burger_king_45.0911_7.7457,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/burger_king_45.0911_7.7457.json,custom
45.091875,7.748112,ov_trattoria_al_g_b_45.0919_7.7481,Trattoria al Göb,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/trattoria_al_gb_45.0919_7.7481.json,custom
