# lat,lng,id,name,building_type,type,url,page_type
# breno -- Tutti
45.956229,10.305327,ov_asl_local_health_vallecamonica_sebino_45.9562_10.3053,ASL Local Health Vallecamonica Sebino,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/asl_local_health_vallecamonica_sebino_45.9562_10.3053.json,custom
45.966213,10.317192,ov_upupa_coffee_wine_restaurant_45.9662_10.3172,upupa coffee wine restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/upupa_coffee_wine_restaurant_45.9662_10.3172.json,custom
45.944050,10.319433,ov_castello_di_breno_happening_45.9440_10.3194,Castello di Breno Happening,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/castello_di_breno_happening_45.9440_10.3194.json,custom
45.938634,10.328187,ov_nido_d_aquila_45.9386_10.3282,Nido d’Aquila,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/nido_daquila_45.9386_10.3282.json,custom
45.941750,10.322830,ov_domenighini_al_castello_45.9417_10.3228,Domenighini al Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/domenighini_al_castello_45.9417_10.3228.json,custom
45.933590,10.333747,ov_ristorante_pizzeria_bracconiere_45.9336_10.3337,Ristorante Pizzeria Bracconiere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/ristorante_pizzeria_bracconiere_45.9336_10.3337.json,custom
45.916534,10.394482,ov_rifugio_bazena_45.9165_10.3945,Rifugio Bazena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/rifugio_bazena_45.9165_10.3945.json,custom
45.947211,10.293671,ov_ristorante_pizzeria_ca_bianca_45.9472_10.2937,Ristorante Pizzeria Ca Bianca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/ristorante_pizzeria_ca_bianca_45.9472_10.2937.json,custom
45.956302,10.300279,ov_ristorante_giangusto_45.9563_10.3003,Ristorante GianGusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/ristorante_giangusto_45.9563_10.3003.json,custom
45.955940,10.299970,ov_unione_45.9559_10.3000,Unione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/unione_45.9559_10.3000.json,custom
45.954598,10.300388,ov_pizzeria_ristorante_i_portici_45.9546_10.3004,Pizzeria ristorante I Portici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/pizzeria_ristorante_i_portici_45.9546_10.3004.json,custom
45.955669,10.300310,ov_delizioso_kebab_pizza_45.9557_10.3003,Delizioso kebab pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/delizioso_kebab_pizza_45.9557_10.3003.json,custom
45.956785,10.300543,ov_gufetto_pizza_45.9568_10.3005,Gufetto Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/gufetto_pizza_45.9568_10.3005.json,custom
45.957504,10.302265,ov_pizzeria_break_breno_45.9575_10.3023,Pizzeria Break Breno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/pizzeria_break_breno_45.9575_10.3023.json,custom
45.960727,10.312369,ov_aquile_45.9607_10.3124,Aquile,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/aquile_45.9607_10.3124.json,custom
45.933568,10.333802,osm_la_taverna_del_bracconiere_45.9336_10.3338,La Taverna del Bracconiere,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/la_taverna_del_bracconiere_45.9336_10.3338.json,custom
45.955955,10.300274,osm_gisburger_45.9560_10.3003,GisBurger,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/gisburger_45.9560_10.3003.json,custom
45.956733,10.300486,osm_gufetto_pizza_45.9567_10.3005,Gufetto Pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/gufetto_pizza_45.9567_10.3005.json,custom
45.955510,10.301243,osm_trattoria_taverna_45.9555_10.3012,Trattoria Taverna,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/trattoria_taverna_45.9555_10.3012.json,custom
45.955085,10.300976,osm_pizza_impero_di_angeloni_rossella_45.9551_10.3010,Pizza Impero Di Angeloni Rossella,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/pizza_impero_di_angeloni_rossella_45.9551_10.3010.json,custom
45.955102,10.301603,osm_bistrot_gastronomia_domenighini_45.9551_10.3016,Bistrot Gastronomia Domenighini,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/bistrot_gastronomia_domenighini_45.9551_10.3016.json,custom
