# lat,lng,id,name,building_type,type,url,page_type
# Villa Verde -- Tutti
39.796356,8.821303,ov_mr_music_bar_39.7964_8.8213,Mr music bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/villa_verde/pages/mr_music_bar_39.7964_8.8213.json,custom
39.796349,8.820387,ov_biblioteca_comunale_di_villa_verde_39.7963_8.8204,Biblioteca Comunale di Villa Verde,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/villa_verde/pages/biblioteca_comunale_di_villa_verde_39.7963_8.8204.json,custom
39.796940,8.820068,ov_biblioteca_gramsciana_39.7969_8.8201,Biblioteca Gramsciana,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/villa_verde/pages/biblioteca_gramsciana_39.7969_8.8201.json,custom
