# lat,lng,id,name,building_type,type,url,page_type
# castelfranco_piandisc -- Tutti
43.621225,11.554112,ov_mr_jack_s_bar_43.6212_11.5541,Mr Jack's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfranco_piandisc/pages/mr_jacks_bar_43.6212_11.5541.json,custom
43.626154,11.516460,ov_bar_sport_43.6262_11.5165,Bar Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfranco_piandisc/pages/bar_sport_43.6262_11.5165.json,custom
43.625961,11.519677,ov_caff__il_giardino_di_susy_43.6260_11.5197,Caffè il Giardino di Susy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfranco_piandisc/pages/caff_il_giardino_di_susy_43.6260_11.5197.json,custom
43.626355,11.517939,ov_circolo_m_c_l__43.6264_11.5179,Circolo M.c.l.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfranco_piandisc/pages/circolo_mcl_43.6264_11.5179.json,custom
43.639648,11.568875,ov_circolo_pulicciano_43.6396_11.5689,Circolo Pulicciano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfranco_piandisc/pages/circolo_pulicciano_43.6396_11.5689.json,custom
43.642890,11.536519,ov_black_sheep_arena_43.6429_11.5365,Black Sheep Arena,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfranco_piandisc/pages/black_sheep_arena_43.6429_11.5365.json,custom
43.627175,11.517150,ov_palestra_gym_center_43.6272_11.5171,Palestra Gym Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfranco_piandisc/pages/palestra_gym_center_43.6272_11.5171.json,custom
43.622010,11.554700,ov_arci_castelfranco_gym_43.6220_11.5547,Arci Castelfranco Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfranco_piandisc/pages/arci_castelfranco_gym_43.6220_11.5547.json,custom
43.625043,11.519255,ov_palestra_comunale_faella_calamandrei_43.6250_11.5193,Palestra Comunale Faella Calamandrei,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfranco_piandisc/pages/palestra_comunale_faella_calamandrei_43.6250_11.5193.json,custom
43.573868,11.489375,ov_minigolf_san_cipriano_43.5739_11.4894,Minigolf San Cipriano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfranco_piandisc/pages/minigolf_san_cipriano_43.5739_11.4894.json,custom
43.623611,11.558333,ov_torre_di_arnolfo_castelfranco_di_sopra_43.6236_11.5583,Torre di Arnolfo Castelfranco di Sopra,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfranco_piandisc/pages/torre_di_arnolfo_castelfranco_di_sopra_43.6236_11.5583.json,custom
43.621246,11.553256,ov_biblioteca_aldo_merlini_43.6212_11.5533,Biblioteca Aldo Merlini,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfranco_piandisc/pages/biblioteca_aldo_merlini_43.6212_11.5533.json,custom
43.640683,11.545992,osm_biblioteca_comunale_ilaria_alpi_43.6407_11.5460,Biblioteca comunale Ilaria Alpi,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfranco_piandisc/pages/biblioteca_comunale_ilaria_alpi_43.6407_11.5460.json,custom
