# lat,lng,id,name,building_type,type,url,page_type
# Saint-Martin-Vésubie -- Tutti
44.071989,7.257969,ov_hopital_saint_antoine_44.0720_7.2580,Hopital Saint Antoine,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/hopital_saint_antoine_44.0720_7.2580.json,custom
44.044048,7.280737,ov_la_pizza_44.0440_7.2807,La pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/la_pizza_44.0440_7.2807.json,custom
44.061230,7.259070,ov_aloura_pizza_44.0612_7.2591,Aloura Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/aloura_pizza_44.0612_7.2591.json,custom
44.070009,7.254019,ov_l_antre_deux_jeux_44.0700_7.2540,L'Antre Deux Jeux,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/lantre_deux_jeux_44.0700_7.2540.json,custom
44.068535,7.256101,ov_restaurant_le_vieux_four_44.0685_7.2561,Restaurant le Vieux Four,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/restaurant_le_vieux_four_44.0685_7.2561.json,custom
44.070173,7.257109,ov_restaurant_la_treille_44.0702_7.2571,Restaurant La Treille,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/restaurant_la_treille_44.0702_7.2571.json,custom
44.069878,7.256992,ov_la_cave_44.0699_7.2570,La Cave,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/la_cave_44.0699_7.2570.json,custom
44.069994,7.256738,ov_la_maverine_44.0700_7.2567,La Maverine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/la_maverine_44.0700_7.2567.json,custom
44.069148,7.256479,ov_lou_pitchoun_44.0691_7.2565,Lou Pitchoun,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/lou_pitchoun_44.0691_7.2565.json,custom
44.113162,7.288931,ov_l_o_a_la_bouche_44.1132_7.2889,L'O a la Bouche,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/lo_a_la_bouche_44.1132_7.2889.json,custom
44.070267,7.256866,osm_l_embuscade_44.0703_7.2569,L'Embuscade,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/lembuscade_44.0703_7.2569.json,custom
44.069749,7.256366,osm_la_taverne_des_pirates_44.0697_7.2564,La Taverne des Pirates,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/la_taverne_des_pirates_44.0697_7.2564.json,custom
44.113019,7.289058,osm_l_____la_bouche_44.1130_7.2891,L'Ô à la bouche,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/l_la_bouche_44.1130_7.2891.json,custom
44.069178,7.256508,osm_lou_pitchoun_44.0692_7.2565,Lou Pitchoun,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/lou_pitchoun_44.0692_7.2565.json,custom
44.070091,7.257101,osm_la_treille_44.0701_7.2571,La Treille,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/la_treille_44.0701_7.2571.json,custom
44.069759,7.256861,osm_le_rendez_vous_44.0698_7.2569,Le Rendez Vous,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/le_rendez_vous_44.0698_7.2569.json,custom
44.068833,7.256177,osm_la_dame_de_c_ur_44.0688_7.2562,La Dame De Cœur,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/la_dame_de_cur_44.0688_7.2562.json,custom
44.109152,7.308173,osm_restaurant_l_alpage_44.1092_7.3082,Restaurant l'Alpage,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/restaurant_lalpage_44.1092_7.3082.json,custom
44.062778,7.257061,ov_brasserie_du_comt__44.0628_7.2571,Brasserie du Comté,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/brasserie_du_comt_44.0628_7.2571.json,custom
44.069772,7.256735,ov_caf__culturel_carnet_d_inspiration_du_me_44.0698_7.2567,Café culturel Carnet d'Inspiration du Mercantour,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/caf_culturel_carnet_dinspiration_du_merc_44.0698_7.2567.json,custom
44.069949,7.256660,ov_bar_des_alpes_44.0699_7.2567,Bar Des Alpes,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/bar_des_alpes_44.0699_7.2567.json,custom
44.070006,7.256513,ov_la_brasserie_les_alpes_saint_martin_vesu_44.0700_7.2565,La Brasserie Les Alpes Saint Martin Vesubie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/la_brasserie_les_alpes_saint_martin_vesu_44.0700_7.2565.json,custom
44.069636,7.256243,ov_le_st_mart__44.0696_7.2562,Le St Mart',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/le_st_mart_44.0696_7.2562.json,custom
44.069874,7.256580,osm_brasserie_les_alpes_44.0699_7.2566,Brasserie Les Alpes,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/brasserie_les_alpes_44.0699_7.2566.json,custom
44.067619,7.256220,ov_club_des_sports_vesubie_44.0676_7.2562,Club Des Sports Vesubie,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/club_des_sports_vesubie_44.0676_7.2562.json,custom
44.069850,7.257125,ov_academie_de_l_art_vivant_44.0699_7.2571,Academie de l'Art Vivant,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/academie_de_lart_vivant_44.0699_7.2571.json,custom
44.072023,7.252714,ov_ves_bia_mountain_park_44.0720_7.2527,Vesúbia Mountain Park,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/vesbia_mountain_park_44.0720_7.2527.json,custom
44.090230,7.250607,ov_a_l__tat_sauvage_44.0902_7.2506,A l'état sauvage,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/a_ltat_sauvage_44.0902_7.2506.json,custom
44.045850,7.276840,ov_rando_trail_mercantour_44.0459_7.2768,Rando Trail Mercantour,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-martin-vsubie/pages/rando_trail_mercantour_44.0459_7.2768.json,custom
