# lat,lng,id,name,building_type,type,url,page_type
# Procida -- Tutti
40.749592,14.013122,ov_ospedale_l_isola_procida_40.7496_14.0131,Ospedale L Isola Procida,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/procida/pages/ospedale_l_isola_procida_40.7496_14.0131.json,custom
40.748989,14.004161,ov_il_galeone_40.7490_14.0042,Il Galeone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/procida/pages/il_galeone_40.7490_14.0042.json,custom
40.750356,14.004422,ov_il_casotto_procida_40.7504_14.0044,Il Casotto Procida,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/procida/pages/il_casotto_procida_40.7504_14.0044.json,custom
40.751131,14.004992,ov_ristorante_bar_lido_vivara_40.7511_14.0050,Ristorante Bar Lido Vivara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/procida/pages/ristorante_bar_lido_vivara_40.7511_14.0050.json,custom
40.751636,14.005376,ov_da_girone_40.7516_14.0054,Da Girone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/procida/pages/da_girone_40.7516_14.0054.json,custom
40.750766,14.004943,ov_l_agave_40.7508_14.0049,L'Agave,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/procida/pages/lagave_40.7508_14.0049.json,custom
40.749229,14.005572,ov_da_mariano_40.7492_14.0056,Da Mariano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/procida/pages/da_mariano_40.7492_14.0056.json,custom
40.749163,14.005978,ov_a_chiaiuledd_40.7492_14.0060,A Chiaiuledd,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/procida/pages/a_chiaiuledd_40.7492_14.0060.json,custom
40.751574,14.008011,ov_olimpia_takeaway_40.7516_14.0080,Olimpia Takeaway,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/procida/pages/olimpia_takeaway_40.7516_14.0080.json,custom
40.750346,14.014716,ov_furiana_40.7503_14.0147,Furiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/procida/pages/furiana_40.7503_14.0147.json,custom
40.765137,14.031336,ov_ristorante_sottosopra_40.7651_14.0313,Ristorante Sottosopra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/procida/pages/ristorante_sottosopra_40.7651_14.0313.json,custom
