# lat,lng,id,name,building_type,type,url,page_type
# nichelino -- Tutti
44.994816,7.651064,ov_grfisio___massofisioterapia___nutrizione_44.9948_7.6511,GRFisio - Massofisioterapia & Nutrizione,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/grfisio_-_massofisioterapia_nutrizione_44.9948_7.6511.json,custom
45.068972,7.552177,ov_delta_sigma_45.0690_7.5522,Delta Sigma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/delta_sigma_45.0690_7.5522.json,custom
45.005965,7.631084,ov_boschetto_nichelino_45.0060_7.6311,Boschetto Nichelino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/boschetto_nichelino_45.0060_7.6311.json,custom
45.006213,7.622993,ov_terre_d__italia_45.0062_7.6230,Terre d' Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/terre_d_italia_45.0062_7.6230.json,custom
45.006325,7.623026,ov_la_piadineria_45.0063_7.6230,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/la_piadineria_45.0063_7.6230.json,custom
45.004883,7.622987,ov_domino_s_pizza_45.0049_7.6230,Domino's Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/dominos_pizza_45.0049_7.6230.json,custom
45.004722,7.629768,ov_pizza_baffo_45.0047_7.6298,Pizza Baffo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/pizza_baffo_45.0047_7.6298.json,custom
45.005083,7.624178,ov_lowengrube_45.0051_7.6242,Lowengrube,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/lowengrube_45.0051_7.6242.json,custom
45.005686,7.622753,ov_burger_king_45.0057_7.6228,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/burger_king_45.0057_7.6228.json,custom
45.002230,7.633010,ov_black___white_45.0022_7.6330,Black & White,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/black_white_45.0022_7.6330.json,custom
45.001740,7.639692,ov_hachi_8_sushi_restaurant_45.0017_7.6397,Hachi 8 Sushi Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/hachi_8_sushi_restaurant_45.0017_7.6397.json,custom
45.001813,7.637362,ov_ristorante_pizzeria_il_mar_rosso_nicheli_45.0018_7.6374,Ristorante pizzeria il mar rosso nichelino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/ristorante_pizzeria_il_mar_rosso_nicheli_45.0018_7.6374.json,custom
45.000683,7.640822,ov_dama_pizza_45.0007_7.6408,Dama Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/dama_pizza_45.0007_7.6408.json,custom
45.000576,7.642241,ov_replay_restaurant_45.0006_7.6422,Replay Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/replay_restaurant_45.0006_7.6422.json,custom
45.000034,7.642187,ov_gigio_pizza_45.0000_7.6422,Gigio Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/gigio_pizza_45.0000_7.6422.json,custom
44.997547,7.607561,ov_ristorante_sabaudia_44.9975_7.6076,Ristorante Sabaudia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/ristorante_sabaudia_44.9975_7.6076.json,custom
44.995363,7.635956,ov_dal_ghiottone_44.9954_7.6360,Dal Ghiottone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/dal_ghiottone_44.9954_7.6360.json,custom
44.993175,7.640158,ov_donaya_food___culture_44.9932_7.6402,Donaya Food & Culture,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/donaya_food_culture_44.9932_7.6402.json,custom
44.991717,7.642622,ov_pizzeria_trattoria_nuvolari_44.9917_7.6426,Pizzeria trattoria Nuvolari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/pizzeria_trattoria_nuvolari_44.9917_7.6426.json,custom
44.989590,7.623350,ov_popeyes_italia_44.9896_7.6234,Popeyes Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/popeyes_italia_44.9896_7.6234.json,custom
