# lat,lng,id,name,building_type,type,url,page_type
# santa_flavia -- Tutti
38.082404,13.526792,ov_ristorante_il_piccantino_38.0824_13.5268,Ristorante Il Piccantino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/ristorante_il_piccantino_38.0824_13.5268.json,custom
38.083007,13.528249,ov_pizzeria_monet_38.0830_13.5282,Pizzeria MONET,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/pizzeria_monet_38.0830_13.5282.json,custom
38.083542,13.530401,ov_qasa_bistrot_38.0835_13.5304,Qasa Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/qasa_bistrot_38.0835_13.5304.json,custom
38.083631,13.530206,ov_pizzeria_ramses_38.0836_13.5302,Pizzeria ramses,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/pizzeria_ramses_38.0836_13.5302.json,custom
38.084234,13.530839,ov_busnaghi_kebab_38.0842_13.5308,Busnaghi Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/busnaghi_kebab_38.0842_13.5308.json,custom
38.084312,13.537313,ov_gast_haus_38.0843_13.5373,Gast Haus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/gast_haus_38.0843_13.5373.json,custom
38.085045,13.532859,ov_pizzeria_don_alfredo___fratelli_di_salvo_38.0850_13.5329,Pizzeria Don Alfredo - Fratelli Di Salvo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/pizzeria_don_alfredo_-_fratelli_di_salvo_38.0850_13.5329.json,custom
38.084945,13.537719,ov_creperia_porticello_38.0849_13.5377,Creperia Porticello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/creperia_porticello_38.0849_13.5377.json,custom
38.085050,13.537688,ov_cr_perie_purticeddu_38.0850_13.5377,Crêperie Purticeddu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/crperie_purticeddu_38.0850_13.5377.json,custom
38.085124,13.532838,ov_pollpizza_ardizzone_38.0851_13.5328,PollPizza Ardizzone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/pollpizza_ardizzone_38.0851_13.5328.json,custom
38.085694,13.538497,ov_al_panfilo_38.0857_13.5385,Al Panfilo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/al_panfilo_38.0857_13.5385.json,custom
38.087273,13.536831,ov_bar_pizzeria_a_marinnuzza_38.0873_13.5368,Bar Pizzeria a Marinnuzza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/bar_pizzeria_a_marinnuzza_38.0873_13.5368.json,custom
38.087687,13.537955,ov_antica_trattoria_dell_arco_franco__u_pis_38.0877_13.5380,Antica Trattoria dell'Arco Franco 'u Piscaturi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/antica_trattoria_dellarco_franco_u_pisca_38.0877_13.5380.json,custom
38.088208,13.539028,ov_gambero_rosso_porticello_38.0882_13.5390,Gambero rosso porticello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/gambero_rosso_porticello_38.0882_13.5390.json,custom
38.088141,13.539194,ov_kantuccio_38.0881_13.5392,Kantuccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/kantuccio_38.0881_13.5392.json,custom
