# lat,lng,id,name,building_type,type,url,page_type
# Chiaromonte -- Tutti
40.123878,16.216163,ov_ospedale_di_chiaromonte_40.1239_16.2162,Ospedale di Chiaromonte,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/chiaromonte/pages/ospedale_di_chiaromonte_40.1239_16.2162.json,custom
40.063864,16.150822,ov_la_selva_resort_ristorante_pizzeria_40.0639_16.1508,La Selva Resort Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/chiaromonte/pages/la_selva_resort_ristorante_pizzeria_40.0639_16.1508.json,custom
40.117539,16.208812,ov_costa_casale_40.1175_16.2088,Costa Casale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/chiaromonte/pages/costa_casale_40.1175_16.2088.json,custom
40.123478,16.214372,ov_la_selva_ristorante_pizzeria_40.1235_16.2144,La Selva Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/chiaromonte/pages/la_selva_ristorante_pizzeria_40.1235_16.2144.json,custom
40.125457,16.215243,ov_ristorante_pizzeria_la_torre_chiaromonte_40.1255_16.2152,Ristorante Pizzeria La Torre Chiaromonte ( PZ ),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/chiaromonte/pages/ristorante_pizzeria_la_torre_chiaromonte_40.1255_16.2152.json,custom
40.125104,16.216069,ov_pizzeria_bar_rosticceria_la_villetta_40.1251_16.2161,Pizzeria Bar Rosticceria La Villetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/chiaromonte/pages/pizzeria_bar_rosticceria_la_villetta_40.1251_16.2161.json,custom
40.063903,16.150959,osm_la_selva_40.0639_16.1510,La Selva,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/chiaromonte/pages/la_selva_40.0639_16.1510.json,custom
40.123320,16.219637,ov_new_snack_bar_40.1233_16.2196,New Snack Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/chiaromonte/pages/new_snack_bar_40.1233_16.2196.json,custom
40.124521,16.220691,ov_museo_archeoantropologico_lodovico_nicol_40.1245_16.2207,Museo archeoantropologico Lodovico Nicola di Giura,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/chiaromonte/pages/museo_archeoantropologico_lodovico_nicol_40.1245_16.2207.json,custom
40.129177,16.224539,ov_tempa_degli_angari_40.1292_16.2245,Tempa Degli Angari,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/chiaromonte/pages/tempa_degli_angari_40.1292_16.2245.json,custom
40.124490,16.214900,ov_biblioteca_comunale_di_chiaromonte_40.1245_16.2149,Biblioteca Comunale di Chiaromonte,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/chiaromonte/pages/biblioteca_comunale_di_chiaromonte_40.1245_16.2149.json,custom
