# lat,lng,id,name,building_type,type,url,page_type
# Vigonovo -- Tutti
45.385622,12.008372,ov_studio_medico_specialistico_chirurgia_ca_45.3856_12.0084,Studio medico specialistico chirurgia cariovascolare,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/studio_medico_specialistico_chirurgia_ca_45.3856_12.0084.json,custom
45.377033,12.000899,ov_mundial_82_45.3770_12.0009,Mundial 82,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/mundial_82_45.3770_12.0009.json,custom
45.370661,12.012440,ov_el_fuego_45.3707_12.0124,El Fuego,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/el_fuego_45.3707_12.0124.json,custom
45.383930,12.032237,ov_antica_osteria_pava_45.3839_12.0322,Antica Osteria Pava,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/antica_osteria_pava_45.3839_12.0322.json,custom
45.386168,12.007105,ov_mulan_sushi_45.3862_12.0071,Mulan Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/mulan_sushi_45.3862_12.0071.json,custom
45.385390,12.006363,ov_rosticceria_alla_brace_45.3854_12.0064,Rosticceria Alla Brace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/rosticceria_alla_brace_45.3854_12.0064.json,custom
45.388532,12.004234,ov_ell_bistrot_45.3885_12.0042,Ell bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/ell_bistrot_45.3885_12.0042.json,custom
45.387859,12.005665,ov_l_oasi_del_gusto_45.3879_12.0057,L'Oasi del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/loasi_del_gusto_45.3879_12.0057.json,custom
45.387848,12.005606,ov_pizzeria_girasole_vigonovo_45.3878_12.0056,Pizzeria Girasole Vigonovo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/pizzeria_girasole_vigonovo_45.3878_12.0056.json,custom
45.389493,12.006119,ov_schizzopizza_45.3895_12.0061,Schizzopizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/schizzopizza_45.3895_12.0061.json,custom
45.396036,11.983885,ov_non_solo_bronse_45.3960_11.9839,Non Solo Bronse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/non_solo_bronse_45.3960_11.9839.json,custom
45.396892,11.989007,ov_trattoria_ai_glicini_45.3969_11.9890,Trattoria Ai Glicini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/trattoria_ai_glicini_45.3969_11.9890.json,custom
45.394290,12.020719,ov_pizzeria_alla_rotonda_da_luigi_45.3943_12.0207,Pizzeria Alla Rotonda da Luigi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/pizzeria_alla_rotonda_da_luigi_45.3943_12.0207.json,custom
