# lat,lng,id,name,building_type,type,url,page_type
# Comiso -- Tutti
36.949982,14.609443,ov_centro_medico_athena_36.9500_14.6094,Centro Medico Athena,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/centro_medico_athena_36.9500_14.6094.json,custom
36.925544,14.563866,ov_le_colline_di_nunzio_36.9255_14.5639,Le Colline di Nunzio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/le_colline_di_nunzio_36.9255_14.5639.json,custom
36.940959,14.595424,ov_la_ginestra_pizzeria_36.9410_14.5954,La Ginestra pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/la_ginestra_pizzeria_36.9410_14.5954.json,custom
36.940713,14.595849,ov_hobby_house_pro_city_bar_pizzeria_36.9407_14.5958,HOBBY HOUSE PRO City bar pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/hobby_house_pro_city_bar_pizzeria_36.9407_14.5958.json,custom
36.941213,14.596736,ov_tocco_d_oro_36.9412_14.5967,Tocco D'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/tocco_doro_36.9412_14.5967.json,custom
36.941904,14.604946,ov_pizzeria_voila_36.9419_14.6049,Pizzeria Voila,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/pizzeria_voila_36.9419_14.6049.json,custom
36.942093,14.606530,ov_borgo_giarracca_36.9421_14.6065,Borgo Giarracca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/borgo_giarracca_36.9421_14.6065.json,custom
36.944225,14.605625,ov_ristorante_dis_o_comiso_36.9442_14.6056,Ristorante Disìo Comiso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/ristorante_diso_comiso_36.9442_14.6056.json,custom
36.946013,14.604480,ov_vicolotto_cucina_madre_36.9460_14.6045,Vicolotto Cucina Madre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/vicolotto_cucina_madre_36.9460_14.6045.json,custom
36.945944,14.604778,ov_fonte_comiso_36.9459_14.6048,Fonte Comiso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/fonte_comiso_36.9459_14.6048.json,custom
36.946052,14.604861,ov_coffee_diana_pizza_restaurant_36.9461_14.6049,Coffee Diana pizza restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/coffee_diana_pizza_restaurant_36.9461_14.6049.json,custom
36.946171,14.604876,ov_meno15__36.9462_14.6049,Meno15º,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/meno15_36.9462_14.6049.json,custom
36.945981,14.604816,ov_archi_ri_ronna_pippa_36.9460_14.6048,Archi Ri Ronna Pippa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/archi_ri_ronna_pippa_36.9460_14.6048.json,custom
36.949201,14.609492,ov_pizza_inn_36.9492_14.6095,Pizza INN,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/pizza_inn_36.9492_14.6095.json,custom
36.949163,14.605627,ov_pizzeria_viale_50_36.9492_14.6056,Pizzeria Viale 50,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/pizzeria_viale_50_36.9492_14.6056.json,custom
36.947851,14.605504,ov_profumo_di_pizza_36.9479_14.6055,Profumo di pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/profumo_di_pizza_36.9479_14.6055.json,custom
36.947806,14.604095,ov_la_locanda_del_profumino_36.9478_14.6041,La Locanda del Profumino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/la_locanda_del_profumino_36.9478_14.6041.json,custom
36.947020,14.604350,ov_borgo_nove_36.9470_14.6044,Borgo Nove,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/borgo_nove_36.9470_14.6044.json,custom
36.947499,14.603566,ov_alex_pizza_lab_36.9475_14.6036,Alex pizza lab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/alex_pizza_lab_36.9475_14.6036.json,custom
36.947841,14.603815,ov_quiero_mas_36.9478_14.6038,Quiero Mas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/quiero_mas_36.9478_14.6038.json,custom
36.948105,14.603536,ov_new_tirovino_36.9481_14.6035,New TiroVino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/new_tirovino_36.9481_14.6035.json,custom
36.948632,14.603844,ov_ristorante_pizzeria_moby_dick_36.9486_14.6038,Ristorante Pizzeria Moby Dick,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/ristorante_pizzeria_moby_dick_36.9486_14.6038.json,custom
36.948290,14.603471,ov_sikania_ristorante_pizzeria_36.9483_14.6035,Sikania Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/sikania_ristorante_pizzeria_36.9483_14.6035.json,custom
36.948154,14.603474,ov_tiro_vino_36.9482_14.6035,Tiro Vino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/tiro_vino_36.9482_14.6035.json,custom
36.948479,14.604799,ov_mazeh___fusion_bistrot_36.9485_14.6048,Mazeh - Fusion Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/mazeh_-_fusion_bistrot_36.9485_14.6048.json,custom
36.951257,14.595836,ov_ristorante_villa_corin_36.9513_14.5958,Ristorante Villa Corin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/ristorante_villa_corin_36.9513_14.5958.json,custom
36.950815,14.602256,ov_mojo_sushi_experience_36.9508_14.6023,MOJO Sushi Experience,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/mojo_sushi_experience_36.9508_14.6023.json,custom
36.953453,14.597136,ov_il_carpaccio_36.9535_14.5971,Il Carpaccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/il_carpaccio_36.9535_14.5971.json,custom
36.954941,14.607435,ov_lo_stretto_36.9549_14.6074,Lo Stretto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/lo_stretto_36.9549_14.6074.json,custom
36.956053,14.605005,ov_la_tana_del_re_36.9561_14.6050,La Tana Del Re,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/la_tana_del_re_36.9561_14.6050.json,custom
36.957009,14.604829,ov_ciao_bar_pizza___co__36.9570_14.6048,Ciao Bar Pizza & Co.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/ciao_bar_pizza_co_36.9570_14.6048.json,custom
36.954990,14.607584,ov_sapori_e_delizie_comiso_36.9550_14.6076,Sapori e delizie comiso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/sapori_e_delizie_comiso_36.9550_14.6076.json,custom
36.954025,14.609747,ov_il_pizzolo_36.9540_14.6097,Il Pizzolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/il_pizzolo_36.9540_14.6097.json,custom
36.953012,14.610599,ov_texas_36.9530_14.6106,Texas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/texas_36.9530_14.6106.json,custom
36.953205,14.605940,ov_c_est_la_vie_36.9532_14.6059,C’est la vie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/cest_la_vie_36.9532_14.6059.json,custom
36.952961,14.603245,ov_l_angolo_di_shiva_comiso_36.9530_14.6032,L'Angolo Di Shiva Comiso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/langolo_di_shiva_comiso_36.9530_14.6032.json,custom
36.952773,14.604752,ov_mezza_parola_36.9528_14.6048,Mezza Parola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/mezza_parola_36.9528_14.6048.json,custom
36.951640,14.603096,ov_bella_e_buona_pizzeria_36.9516_14.6031,Bella e Buona Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/comiso/pages/bella_e_buona_pizzeria_36.9516_14.6031.json,custom
