# lat,lng,id,name,building_type,type,url,page_type
# Cabuderra/Capoterra -- Tutti
39.129947,8.995029,ov_agriturismo_il_murales_39.1299_8.9950,Agriturismo Il Murales,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/cabuderracapoterra/pages/agriturismo_il_murales_39.1299_8.9950.json,custom
39.180648,9.014592,ov_scuderia_cabuderra_39.1806_9.0146,Scuderia Cabuderra,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/cabuderracapoterra/pages/scuderia_cabuderra_39.1806_9.0146.json,custom
39.126193,8.999386,ov_scuderie_de_bois_39.1262_8.9994,Scuderie De Bois,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/cabuderracapoterra/pages/scuderie_de_bois_39.1262_8.9994.json,custom
