# lat,lng,id,name,building_type,type,url,page_type
# muro_leccese -- Tutti
40.108460,18.325763,ov_piu_bar_40.1085_18.3258,Piu Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/muro_leccese/pages/piu_bar_40.1085_18.3258.json,custom
40.106759,18.329567,ov_menar_o___drinkeria_40.1068_18.3296,Menarìo - drinkeria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/muro_leccese/pages/menaro_-_drinkeria_40.1068_18.3296.json,custom
40.124320,18.335967,ov_petrolgrillarea_40.1243_18.3360,Petrolgrillarea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/muro_leccese/pages/petrolgrillarea_40.1243_18.3360.json,custom
40.099890,18.333653,ov_scuderia_brigante_40.0999_18.3337,Scuderia Brigante,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/muro_leccese/pages/scuderia_brigante_40.0999_18.3337.json,custom
40.097736,18.341899,ov_asd_dance_for_life___antonella_verardi_40.0977_18.3419,ASD Dance For Life - Antonella Verardi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/muro_leccese/pages/asd_dance_for_life_-_antonella_verardi_40.0977_18.3419.json,custom
40.102183,18.337204,ov_asd_centro_studi_danza_revolution_40.1022_18.3372,ASD Centro Studi Danza Revolution,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/muro_leccese/pages/asd_centro_studi_danza_revolution_40.1022_18.3372.json,custom
40.102451,18.337481,ov_blu_fit_studio_40.1025_18.3375,Blu Fit Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/muro_leccese/pages/blu_fit_studio_40.1025_18.3375.json,custom
40.102759,18.332598,ov_devi_ves_centro_yoga_40.1028_18.3326,Devi Ves Centro Yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/muro_leccese/pages/devi_ves_centro_yoga_40.1028_18.3326.json,custom
40.128970,18.350736,ov_international_circuit_la_conca_40.1290_18.3507,International circuit La Conca,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/muro_leccese/pages/international_circuit_la_conca_40.1290_18.3507.json,custom
40.128804,18.350376,ov_kartodromo_la_conca_40.1288_18.3504,Kartodromo La Conca,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/muro_leccese/pages/kartodromo_la_conca_40.1288_18.3504.json,custom
40.104073,18.338866,ov_palazzo_del_principe_40.1041_18.3389,Palazzo Del Principe,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/muro_leccese/pages/palazzo_del_principe_40.1041_18.3389.json,custom
40.103597,18.338898,ov_museo_diffuso_di_borgo_terra_40.1036_18.3389,Museo Diffuso di Borgo Terra,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/muro_leccese/pages/museo_diffuso_di_borgo_terra_40.1036_18.3389.json,custom
40.103273,18.338435,ov_simur_muro_leccese_40.1033_18.3384,Simur Muro Leccese,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/muro_leccese/pages/simur_muro_leccese_40.1033_18.3384.json,custom
40.101660,18.339470,ov_biblioteca_muro_leccese_40.1017_18.3395,Biblioteca Muro Leccese,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/muro_leccese/pages/biblioteca_muro_leccese_40.1017_18.3395.json,custom
