# lat,lng,id,name,building_type,type,url,page_type
# Filadelfia -- Tutti
38.783501,16.295303,ov_aesse_ortopedia_di_antonella_servello_38.7835_16.2953,Aesse Ortopedia di Antonella Servello,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/filadelfia/pages/aesse_ortopedia_di_antonella_servello_38.7835_16.2953.json,custom
38.782024,16.288851,ov_a_modo_nostro_enobistrot_38.7820_16.2889,A Modo Nostro Enobistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/filadelfia/pages/a_modo_nostro_enobistrot_38.7820_16.2889.json,custom
38.783047,16.294793,ov_pizzeria_da_pino_38.7830_16.2948,Pizzeria Da Pino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/filadelfia/pages/pizzeria_da_pino_38.7830_16.2948.json,custom
38.783108,16.293984,ov_serratore_caff__38.7831_16.2940,Serratore Caffè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/filadelfia/pages/serratore_caff_38.7831_16.2940.json,custom
38.784027,16.289794,ov_ristorante_la_locanda_degli_antichi_sapo_38.7840_16.2898,Ristorante La Locanda degli Antichi Sapori - Filadelfia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/filadelfia/pages/ristorante_la_locanda_degli_antichi_sapo_38.7840_16.2898.json,custom
38.783809,16.291636,ov_pizzeria_antiche_mura_38.7838_16.2916,Pizzeria Antiche Mura,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/filadelfia/pages/pizzeria_antiche_mura_38.7838_16.2916.json,custom
38.783373,16.292351,ov_pizzeria_one_one_38.7834_16.2924,Pizzeria one&one,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/filadelfia/pages/pizzeria_oneone_38.7834_16.2924.json,custom
38.811329,16.294910,ov_la_pratinella_38.8113_16.2949,La Pratinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/filadelfia/pages/la_pratinella_38.8113_16.2949.json,custom
38.784029,16.290298,ov_bar_fruci_38.7840_16.2903,Bar Fruci,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/filadelfia/pages/bar_fruci_38.7840_16.2903.json,custom
38.785016,16.292229,ov_stonehenge_pub_38.7850_16.2922,Stonehenge Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/filadelfia/pages/stonehenge_pub_38.7850_16.2922.json,custom
38.784340,16.291516,ov_punto_ristoro_villa_38.7843_16.2915,Punto ristoro villa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/filadelfia/pages/punto_ristoro_villa_38.7843_16.2915.json,custom
38.783938,16.291676,ov_cybercafe_38.7839_16.2917,Cybercafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/filadelfia/pages/cybercafe_38.7839_16.2917.json,custom
38.783508,16.291521,ov_plaza_cafe_38.7835_16.2915,Plaza Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/filadelfia/pages/plaza_cafe_38.7835_16.2915.json,custom
38.783574,16.292129,ov_bar_gibodi_38.7836_16.2921,Bar Gibodi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/filadelfia/pages/bar_gibodi_38.7836_16.2921.json,custom
38.783715,16.291977,ov_pasticceria_diaco_giuseppe_38.7837_16.2920,Pasticceria Diaco Giuseppe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/filadelfia/pages/pasticceria_diaco_giuseppe_38.7837_16.2920.json,custom
38.783676,16.292569,ov_hollywood_bar_38.7837_16.2926,Hollywood Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/filadelfia/pages/hollywood_bar_38.7837_16.2926.json,custom
38.783531,16.292851,ov_black_and_white_38.7835_16.2929,Black and white,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/filadelfia/pages/black_and_white_38.7835_16.2929.json,custom
38.783288,16.294639,ov_american_snack_bar_38.7833_16.2946,American Snack Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/filadelfia/pages/american_snack_bar_38.7833_16.2946.json,custom
38.781345,16.288376,ov_palazzetto_dello_sport_38.7813_16.2884,Palazzetto dello Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/filadelfia/pages/palazzetto_dello_sport_38.7813_16.2884.json,custom
38.785880,16.288133,ov_atcom_38.7859_16.2881,Atcom,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/filadelfia/pages/atcom_38.7859_16.2881.json,custom
