# lat,lng,id,name,building_type,type,url,page_type
# santalfio -- Tutti
37.743920,15.144210,ov_ambulanze_mauro_37.7439_15.1442,Ambulanze Mauro,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santalfio/pages/ambulanze_mauro_37.7439_15.1442.json,custom
37.738630,15.135235,ov_tenuta_minicucco_37.7386_15.1352,Tenuta Minicucco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santalfio/pages/tenuta_minicucco_37.7386_15.1352.json,custom
37.739749,15.115287,ov_tenuta_favazze_37.7397_15.1153,Tenuta Favazze,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santalfio/pages/tenuta_favazze_37.7397_15.1153.json,custom
37.740492,15.147269,ov_la_discesa_ristorante_pizzeria_37.7405_15.1473,La Discesa ristorante pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santalfio/pages/la_discesa_ristorante_pizzeria_37.7405_15.1473.json,custom
37.741148,15.145068,ov_agriturismo_dolcetna_37.7411_15.1451,Agriturismo DolcEtna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santalfio/pages/agriturismo_dolcetna_37.7411_15.1451.json,custom
37.744004,15.135809,ov_pizzeria_al_pino_37.7440_15.1358,Pizzeria Al Pino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santalfio/pages/pizzeria_al_pino_37.7440_15.1358.json,custom
37.743601,15.126369,ov_case_perrotta_agriturismo_37.7436_15.1264,Case Perrotta Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santalfio/pages/case_perrotta_agriturismo_37.7436_15.1264.json,custom
37.745317,15.133358,ov_ristorante_pizzeria_caffetteria_regina_g_37.7453_15.1334,Ristorante Pizzeria Caffetteria Regina Giovanna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santalfio/pages/ristorante_pizzeria_caffetteria_regina_g_37.7453_15.1334.json,custom
37.749060,15.131520,ov_castagno_dei_cento_cavalli_37.7491_15.1315,Castagno dei Cento Cavalli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santalfio/pages/castagno_dei_cento_cavalli_37.7491_15.1315.json,custom
37.751775,15.128451,ov_l_antica_taverna_del_castagno_37.7518_15.1285,L'Antica Taverna del Castagno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santalfio/pages/lantica_taverna_del_castagno_37.7518_15.1285.json,custom
37.749439,15.131237,ov_chiosco_bar_caff__100_cavalli_37.7494_15.1312,Chiosco Bar Caffè 100 Cavalli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santalfio/pages/chiosco_bar_caff_100_cavalli_37.7494_15.1312.json,custom
37.742828,15.143254,ov_mace___museo_d_arte_contemporanea_etna_37.7428_15.1433,MACE - Museo d'Arte Contemporanea Etna,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santalfio/pages/mace_-_museo_darte_contemporanea_etna_37.7428_15.1433.json,custom
37.741662,15.142207,ov_museo_della_vite__del_vino_e_della_civil_37.7417_15.1422,"Museo della Vite, del Vino e della Civiltà Contadina - Sant'",MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santalfio/pages/museo_della_vite_del_vino_e_della_civilt_37.7417_15.1422.json,custom
37.741784,15.142600,ov_biblioteca_comunale_mons__nicotra_di_san_37.7418_15.1426,Biblioteca Comunale Mons. Nicotra di Sant'Alfio,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santalfio/pages/biblioteca_comunale_mons_nicotra_di_sant_37.7418_15.1426.json,custom
