# lat,lng,id,name,building_type,type,url,page_type
# tavagnacco -- Tutti
46.114144,13.215751,ov_salus_alpe_adria_s_r_l__46.1141_13.2158,Salus Alpe Adria s.r.l.,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/salus_alpe_adria_srl_46.1141_13.2158.json,custom
46.092718,13.199585,ov_shin_musashi_dojo___kendo_udine_46.0927_13.1996,Shin Musashi Dojo - Kendo Udine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/shin_musashi_dojo_-_kendo_udine_46.0927_13.1996.json,custom
46.100360,13.214593,ov_al_fogolar_ristorante_pizzeria_46.1004_13.2146,Al Fogolar ristorante pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/al_fogolar_ristorante_pizzeria_46.1004_13.2146.json,custom
46.102629,13.212949,ov_europizza_46.1026_13.2129,Europizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/europizza_46.1026_13.2129.json,custom
46.101846,13.208267,ov_ratatouille_loris_46.1018_13.2083,Ratatouille-Loris,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/ratatouille-loris_46.1018_13.2083.json,custom
46.103937,13.212348,ov_pizzeria_quarto_senso_46.1039_13.2123,Pizzeria Quarto Senso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/pizzeria_quarto_senso_46.1039_13.2123.json,custom
46.103347,13.213007,ov_donald_s_pizza_e_kebab_46.1033_13.2130,Donald's Pizza e Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/donalds_pizza_e_kebab_46.1033_13.2130.json,custom
46.126077,13.208532,ov_ristorante_hotel_al_grop_46.1261_13.2085,Ristorante Hotel al Grop,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/ristorante_hotel_al_grop_46.1261_13.2085.json,custom
46.127541,13.214208,ov_ristorante_pizzeria_albergo_al_parco_46.1275_13.2142,Ristorante Pizzeria Albergo Al Parco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/ristorante_pizzeria_albergo_al_parco_46.1275_13.2142.json,custom
46.127523,13.214295,ov_antica_locanda_al_parco_46.1275_13.2143,Antica Locanda al Parco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/antica_locanda_al_parco_46.1275_13.2143.json,custom
46.126860,13.214320,ov_ce_bon_cr_perie_46.1269_13.2143,Ce Bon Crêperie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/ce_bon_crperie_46.1269_13.2143.json,custom
46.125274,13.220677,ov_ristorante_le_magnolie_46.1253_13.2207,Ristorante Le Magnolie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/ristorante_le_magnolie_46.1253_13.2207.json,custom
46.129512,13.220405,ov_agriturismo_la_lobie_46.1295_13.2204,Agriturismo La Lobie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/agriturismo_la_lobie_46.1295_13.2204.json,custom
46.102959,13.230076,ov_niu_46.1030_13.2301,Niu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/niu_46.1030_13.2301.json,custom
46.104269,13.229913,ov_koi_restaurant_46.1043_13.2299,Koi Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/koi_restaurant_46.1043_13.2299.json,custom
46.104260,13.230115,ov_koi_asian_restaurant_46.1043_13.2301,Koi Asian Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/koi_asian_restaurant_46.1043_13.2301.json,custom
46.109953,13.228445,ov_il_melograno___bistrot_46.1100_13.2284,Il Melograno - Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/il_melograno_-_bistrot_46.1100_13.2284.json,custom
46.105382,13.229681,ov_prunus_restaurant_udine_46.1054_13.2297,Prunus Restaurant Udine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/prunus_restaurant_udine_46.1054_13.2297.json,custom
46.102933,13.229199,ov_old_wild_west___udine_tavagnacco_46.1029_13.2292,Old Wild West - Udine Tavagnacco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/old_wild_west_-_udine_tavagnacco_46.1029_13.2292.json,custom
46.102972,13.229054,ov_udine_tavagnacco_46.1030_13.2291,Udine Tavagnacco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/udine_tavagnacco_46.1030_13.2291.json,custom
46.103936,13.228653,ov_sakura_restaurant_46.1039_13.2287,Sakura restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/sakura_restaurant_46.1039_13.2287.json,custom
46.104175,13.228580,ov_to_sushi_restaurant_46.1042_13.2286,To Sushi Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/to_sushi_restaurant_46.1042_13.2286.json,custom
46.122181,13.226778,ov_mcdonald_s_46.1222_13.2268,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/mcdonalds_46.1222_13.2268.json,custom
46.105937,13.221882,ov_ristorante_pizzeria_alla_rotonda_46.1059_13.2219,Ristorante Pizzeria Alla Rotonda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/ristorante_pizzeria_alla_rotonda_46.1059_13.2219.json,custom
46.100988,13.216787,ov_osteria_alle_rondini_46.1010_13.2168,Osteria Alle Rondini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/osteria_alle_rondini_46.1010_13.2168.json,custom
