# lat,lng,id,name,building_type,type,url,page_type
# Porto Tolle -- Tutti
44.950729,12.328360,ov_centro_medico_delta_44.9507_12.3284,Centro Medico Delta,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/centro_medico_delta_44.9507_12.3284.json,custom
44.965969,12.488143,ov_rifugio_punta_maestra_44.9660_12.4881,Rifugio Punta Maestra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/rifugio_punta_maestra_44.9660_12.4881.json,custom
44.965486,12.482195,ov_gente_di_mare___trattoria_44.9655_12.4822,Gente di Mare - Trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/gente_di_mare_-_trattoria_44.9655_12.4822.json,custom
44.930654,12.487733,ov_canarin_44.9307_12.4877,Canarin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/canarin_44.9307_12.4877.json,custom
44.948490,12.457220,ov_custom_pizzeria_pub_44.9485_12.4572,Custom Pizzeria Pub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/custom_pizzeria_pub_44.9485_12.4572.json,custom
44.948297,12.457302,ov_ristorante_ocaro_44.9483_12.4573,Ristorante Ocaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/ristorante_ocaro_44.9483_12.4573.json,custom
44.938177,12.438155,ov_bar_trattoria_da_yoghi_44.9382_12.4382,Bar Trattoria Da Yoghi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/bar_trattoria_da_yoghi_44.9382_12.4382.json,custom
44.940126,12.429739,ov_il_pescatore_di_andreina_44.9401_12.4297,Il Pescatore di Andreina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/il_pescatore_di_andreina_44.9401_12.4297.json,custom
44.933119,12.430124,ov_ittiturismo_villa_martina_44.9331_12.4301,Ittiturismo Villa Martina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/ittiturismo_villa_martina_44.9331_12.4301.json,custom
44.947925,12.394950,ov_agriturismo_la_fraterna_44.9479_12.3949,Agriturismo La Fraterna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/agriturismo_la_fraterna_44.9479_12.3949.json,custom
44.972782,12.396971,ov_ristorante_ultima_spiaggia_44.9728_12.3970,Ristorante Ultima Spiaggia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/ristorante_ultima_spiaggia_44.9728_12.3970.json,custom
45.027527,12.422822,ov_scano_palo_ristobeach_45.0275_12.4228,Scano Palo Ristobeach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/scano_palo_ristobeach_45.0275_12.4228.json,custom
44.931263,12.326695,ov_bar_trattoria_giusy_44.9313_12.3267,Bar Trattoria Giusy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/bar_trattoria_giusy_44.9313_12.3267.json,custom
44.948515,12.311620,ov_laif_bar_porto_tolle_44.9485_12.3116,Laif Bar Porto Tolle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/laif_bar_porto_tolle_44.9485_12.3116.json,custom
44.948603,12.309089,ov_ponte_molo___ristorante___hotel_44.9486_12.3091,Ponte Molo - Ristorante & Hotel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/ponte_molo_-_ristorante_hotel_44.9486_12.3091.json,custom
44.949859,12.322113,ov_gastronomia_l_angolo_del_gusto_44.9499_12.3221,Gastronomia L'Angolo del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/gastronomia_langolo_del_gusto_44.9499_12.3221.json,custom
44.950198,12.322883,ov_maninpasta_di_grandi_simone_44.9502_12.3229,Maninpasta Di Grandi Simone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/maninpasta_di_grandi_simone_44.9502_12.3229.json,custom
44.950393,12.325840,ov_boutique_della_pizza_doc_44.9504_12.3258,Boutique della pizza DOC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/boutique_della_pizza_doc_44.9504_12.3258.json,custom
44.953965,12.352575,ov_pizzeria_romito_44.9540_12.3526,Pizzeria Romito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/pizzeria_romito_44.9540_12.3526.json,custom
44.958655,12.333865,ov_ristorante_dai_valligiani___fraz__ca__ve_44.9587_12.3339,Ristorante dai Valligiani - Fraz. Ca' Venier,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/ristorante_dai_valligiani_-_fraz_ca_veni_44.9587_12.3339.json,custom
44.951479,12.332003,ov_romito_angelo_44.9515_12.3320,Romito Angelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/romito_angelo_44.9515_12.3320.json,custom
44.952014,12.334757,ov_pizzeria_girasole_44.9520_12.3348,Pizzeria Girasole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/pizzeria_girasole_44.9520_12.3348.json,custom
44.951851,12.335059,ov_nama_sushi_44.9519_12.3351,Nama Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/nama_sushi_44.9519_12.3351.json,custom
44.945499,12.334817,ov_rombo_pizzeria_ristorante_44.9455_12.3348,Rombo Pizzeria Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/rombo_pizzeria_ristorante_44.9455_12.3348.json,custom
44.945539,12.333557,ov_cioccolatte_44.9455_12.3336,Cioccolatte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/cioccolatte_44.9455_12.3336.json,custom
44.917156,12.365009,ov_agriturismo_caprissio_44.9172_12.3650,Agriturismo Caprissio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/agriturismo_caprissio_44.9172_12.3650.json,custom
44.867047,12.362073,ov_bar_trattoria_da_renzo_44.8670_12.3621,Bar Trattoria Da Renzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/bar_trattoria_da_renzo_44.8670_12.3621.json,custom
44.893737,12.328761,ov_bar_trattoria_il_pescatore_44.8937_12.3288,Bar Trattoria Il Pescatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/bar_trattoria_il_pescatore_44.8937_12.3288.json,custom
44.838557,12.377066,ov_osteria_arcadia_44.8386_12.3771,Osteria Arcadia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/osteria_arcadia_44.8386_12.3771.json,custom
44.867167,12.381671,ov_ittiturismo_la_pineta_44.8672_12.3817,Ittiturismo La Pineta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/ittiturismo_la_pineta_44.8672_12.3817.json,custom
44.881131,12.398466,ov_ristorante_marina_70_44.8811_12.3985,Ristorante Marina 70,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/ristorante_marina_70_44.8811_12.3985.json,custom
