# lat,lng,id,name,building_type,type,url,page_type
# Verona -- Tutti
45.500446,11.014117,ov_ospedale_di_marzana_45.5004_11.0141,Ospedale di Marzana,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/verona/pages/ospedale_di_marzana_45.5004_11.0141.json,custom
45.501890,11.015900,ov_pizzeria_spiga_d_oro_45.5019_11.0159,Pizzeria Spiga D'oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/verona/pages/pizzeria_spiga_doro_45.5019_11.0159.json,custom
45.500004,11.077673,ov_trattoria_al_parigin_45.5000_11.0777,Trattoria Al Parigin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/verona/pages/trattoria_al_parigin_45.5000_11.0777.json,custom
45.503070,11.012129,ov_pikaciccio_45.5031_11.0121,Pikaciccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/verona/pages/pikaciccio_45.5031_11.0121.json,custom
45.535982,11.069760,ov_locanda_al_confin_osteria_le_piere_45.5360_11.0698,Locanda Al Confin Osteria Le Piere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/verona/pages/locanda_al_confin_osteria_le_piere_45.5360_11.0698.json,custom
45.516601,11.086497,ov_agriturismo_corte_maccini_45.5166_11.0865,Agriturismo Corte Maccini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/verona/pages/agriturismo_corte_maccini_45.5166_11.0865.json,custom
45.516968,11.087762,ov_trattoria_dalla_valentina_45.5170_11.0878,Trattoria dalla Valentina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/verona/pages/trattoria_dalla_valentina_45.5170_11.0878.json,custom
45.516552,11.108330,ov_bar_trattoria_moruri_45.5166_11.1083,Bar Trattoria Moruri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/verona/pages/bar_trattoria_moruri_45.5166_11.1083.json,custom
45.504053,11.089470,ov_agriturismo_camposilvano_45.5041_11.0895,Agriturismo Camposilvano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/verona/pages/agriturismo_camposilvano_45.5041_11.0895.json,custom
45.500058,11.017456,osm_pizzeria_bar_da_leo_45.5001_11.0175,Pizzeria Bar da Leo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/verona/pages/pizzeria_bar_da_leo_45.5001_11.0175.json,custom
45.536055,11.069728,osm_locanda_al_confin_e_osteria_le_piere_45.5361_11.0697,Locanda al Confin e Osteria le Piere,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/verona/pages/locanda_al_confin_e_osteria_le_piere_45.5361_11.0697.json,custom
45.500354,11.017304,osm_why_not__45.5004_11.0173,Why Not?,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/verona/pages/why_not_45.5004_11.0173.json,custom
45.516502,11.108282,osm_bar_trattoria_moruri_45.5165_11.1083,Bar Trattoria Moruri,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/verona/pages/bar_trattoria_moruri_45.5165_11.1083.json,custom
45.501831,11.070033,ov_maneggio_ca__montemezzano_45.5018_11.0700,Maneggio Ca' Montemezzano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/verona/pages/maneggio_ca_montemezzano_45.5018_11.0700.json,custom
45.503092,11.012183,ov_gioyogaverona_45.5031_11.0122,GioYogaVerona,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/verona/pages/gioyogaverona_45.5031_11.0122.json,custom
