# lat,lng,id,name,building_type,type,url,page_type
# Soliera -- Tutti
44.891181,11.101260,ov_molinari_salute_44.8912_11.1013,Molinari Salute,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/molinari_salute_44.8912_11.1013.json,custom
44.744371,10.897598,ov_fattoriamaria_gourmet_44.7444_10.8976,FattoriaMaria Gourmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/fattoriamaria_gourmet_44.7444_10.8976.json,custom
44.725015,10.912277,ov_pi__sapore_44.7250_10.9123,Più Sapore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/pi_sapore_44.7250_10.9123.json,custom
44.728990,10.950047,ov_agriturismo_l_oca_bigia_44.7290_10.9500,Agriturismo L'Oca Bigia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/agriturismo_loca_bigia_44.7290_10.9500.json,custom
44.739410,10.924410,ov_happy_saleoff_store_44.7394_10.9244,Happy SaleOff Store,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/happy_saleoff_store_44.7394_10.9244.json,custom
44.739440,10.924387,ov_il_capriccio_44.7394_10.9244,Il Capriccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/il_capriccio_44.7394_10.9244.json,custom
44.739369,10.924269,ov_kita_japanese_restaurant_44.7394_10.9243,Kita japanese restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/kita_japanese_restaurant_44.7394_10.9243.json,custom
44.738718,10.924222,ov_piadineria_butega_romagnola_soliera_44.7387_10.9242,Piadineria Butega Romagnola Soliera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/piadineria_butega_romagnola_soliera_44.7387_10.9242.json,custom
44.737207,10.924245,ov_ristorante_pizzeria_rosy_ale_44.7372_10.9242,Ristorante Pizzeria Rosy ALE,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/ristorante_pizzeria_rosy_ale_44.7372_10.9242.json,custom
44.736495,10.928623,ov_planet_pizza_44.7365_10.9286,Planet Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/planet_pizza_44.7365_10.9286.json,custom
44.735144,10.924845,ov_casa_della_pizza_soliera_44.7351_10.9248,Casa Della Pizza Soliera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/casa_della_pizza_soliera_44.7351_10.9248.json,custom
44.734003,10.922404,ov_porta_in_tavola_44.7340_10.9224,Porta In Tavola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/porta_in_tavola_44.7340_10.9224.json,custom
44.734099,10.921369,ov_dongiovanni_di_soliera_mo_44.7341_10.9214,DonGiovanni Di Soliera MO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/dongiovanni_di_soliera_mo_44.7341_10.9214.json,custom
44.728771,10.911291,ov_puro_44.7288_10.9113,Puro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/puro_44.7288_10.9113.json,custom
44.728024,10.913463,ov_ristorante_bar_il_cavallino_44.7280_10.9135,Ristorante Bar Il Cavallino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/ristorante_bar_il_cavallino_44.7280_10.9135.json,custom
44.726592,10.911443,ov_zem_lab_44.7266_10.9114,Zem Lab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/zem_lab_44.7266_10.9114.json,custom
44.735571,10.918028,ov_ristorante_pizzeria_mezzaluna_44.7356_10.9180,Ristorante Pizzeria Mezzaluna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/ristorante_pizzeria_mezzaluna_44.7356_10.9180.json,custom
44.760464,10.922760,ov_la_vecchia_limidi_44.7605_10.9228,La Vecchia Limidi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/la_vecchia_limidi_44.7605_10.9228.json,custom
44.760913,10.923795,ov_ristorante_cinese_oriente_44.7609_10.9238,Ristorante Cinese Oriente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/ristorante_cinese_oriente_44.7609_10.9238.json,custom
44.766202,10.915534,ov_ristorante_ardesia_44.7662_10.9155,Ristorante Ardesia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/ristorante_ardesia_44.7662_10.9155.json,custom
44.767567,10.910840,ov_ristorante_shahi_indiano_pakistano_44.7676_10.9108,Ristorante Shahi Indiano Pakistano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/ristorante_shahi_indiano_pakistano_44.7676_10.9108.json,custom
44.763839,10.923187,ov_pizzeria_la_limidese_44.7638_10.9232,Pizzeria la Limidese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/pizzeria_la_limidese_44.7638_10.9232.json,custom
44.764241,10.932480,ov_la_zappa_e_il_mestolo_44.7642_10.9325,La zappa e il mestolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/la_zappa_e_il_mestolo_44.7642_10.9325.json,custom
44.756462,10.946954,ov_ristorante_ardesia_44.7565_10.9470,Ristorante Ardesia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/ristorante_ardesia_44.7565_10.9470.json,custom
44.747755,10.979137,ov_pizzeria_il_bacio_estivo_44.7478_10.9791,Pizzeria il Bacio Estivo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/pizzeria_il_bacio_estivo_44.7478_10.9791.json,custom
44.766584,10.977524,ov_la_casa_di_valli_44.7666_10.9775,La Casa di Valli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/la_casa_di_valli_44.7666_10.9775.json,custom
44.716429,10.953879,osm_trattoria_secchia_44.7164_10.9539,Trattoria Secchia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/trattoria_secchia_44.7164_10.9539.json,custom
44.760579,10.922595,osm_la_vecchia_limidi_44.7606_10.9226,La Vecchia Limidi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/la_vecchia_limidi_44.7606_10.9226.json,custom
44.746966,10.899182,ov_oltrecafe_44.7470_10.8992,Oltrecafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/oltrecafe_44.7470_10.8992.json,custom
