# lat,lng,id,name,building_type,type
# Gravina in Puglia — Tutti i POI
40.820310,16.469975,osm_ospedale_della_murgia_fabio_perinei_40.8203_16.4700,Ospedale della Murgia Fabio Perinei,hospital,hospital
40.816881,16.414643,osm_trattoria_zia_rosa_40.8169_16.4146,Trattoria Zia Rosa,ristorante,ristorante
40.815939,16.415293,osm_ristorante_tibbasta_40.8159_16.4153,Ristorante Tibbasta,ristorante,ristorante
40.817290,16.427050,osm_sapore___ristorante_pizzeria__40.8173_16.4271,SAPORE’ (RISTORANTE-PIZZERIA),ristorante,ristorante
40.816220,16.425649,osm_fabrizio_wellness_food_40.8162_16.4256,Fabrizio Wellness FOOD,ristorante,ristorante
