# lat,lng,id,name,building_type,type,url,page_type
# Colorno -- Tutti
44.933429,10.376082,ov_ospedale_di_colorno_44.9334_10.3761,Ospedale Di Colorno,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/ospedale_di_colorno_44.9334_10.3761.json,custom
44.914400,10.344270,ov_ristorante_pizzeria_dell_amicizia_44.9144_10.3443,Ristorante pizzeria dell’amicizia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/ristorante_pizzeria_dellamicizia_44.9144_10.3443.json,custom
44.931463,10.349356,ov_hostariola_44.9315_10.3494,Hostariola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/hostariola_44.9315_10.3494.json,custom
44.934330,10.359887,ov_agriturismo_la_palazzina_44.9343_10.3599,Agriturismo La Palazzina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/agriturismo_la_palazzina_44.9343_10.3599.json,custom
44.931686,10.374017,ov_miami_pizzeria_44.9317_10.3740,Miami pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/miami_pizzeria_44.9317_10.3740.json,custom
44.932181,10.376045,ov_trattoria_arcari_44.9322_10.3760,Trattoria Arcari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/trattoria_arcari_44.9322_10.3760.json,custom
44.955150,10.381620,ov_ristorante_lido_44.9552_10.3816,Ristorante Lido,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/ristorante_lido_44.9552_10.3816.json,custom
44.958629,10.382870,ov_al_bello_carico_di_azzali_paolo___c__snc_44.9586_10.3829,Al Bello Carico di Azzali Paolo & C. Snc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/al_bello_carico_di_azzali_paolo_c_snc_44.9586_10.3829.json,custom
44.961362,10.380573,ov_ristorante_stendhal_44.9614_10.3806,Ristorante Stendhal,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/ristorante_stendhal_44.9614_10.3806.json,custom
44.968714,10.377756,ov_locanda_stendhal_44.9687_10.3778,Locanda Stendhal,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/locanda_stendhal_44.9687_10.3778.json,custom
44.930218,10.374719,ov_pizzeria_bella_napoli_colorno_44.9302_10.3747,Pizzeria Bella Napoli Colorno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/pizzeria_bella_napoli_colorno_44.9302_10.3747.json,custom
44.929503,10.375149,ov_mondopizza_44.9295_10.3751,Mondopizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/mondopizza_44.9295_10.3751.json,custom
44.929793,10.376093,ov_caffe_dei_lancieri_44.9298_10.3761,Caffe dei Lancieri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/caffe_dei_lancieri_44.9298_10.3761.json,custom
44.929884,10.374302,ov_da_sergio_44.9299_10.3743,Da Sergio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/da_sergio_44.9299_10.3743.json,custom
44.925345,10.372391,ov_un_posto_al_sole_44.9253_10.3724,Un posto al sole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/un_posto_al_sole_44.9253_10.3724.json,custom
44.928214,10.375362,ov_vecchio_mulino_44.9282_10.3754,Vecchio Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/vecchio_mulino_44.9282_10.3754.json,custom
44.922302,10.368402,ov_laboratorio11_44.9223_10.3684,Laboratorio11,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/laboratorio11_44.9223_10.3684.json,custom
44.922293,10.359235,ov_al_vedel_44.9223_10.3592,Al Vedel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/al_vedel_44.9223_10.3592.json,custom
44.918577,10.366757,ov_ristorante_il_principe_di_colorno_44.9186_10.3668,Ristorante Il Principe di Colorno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/ristorante_il_principe_di_colorno_44.9186_10.3668.json,custom
44.932187,10.375577,ov_vinoteca_del_medio_44.9322_10.3756,Vinoteca del Medio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/vinoteca_del_medio_44.9322_10.3756.json,custom
44.940759,10.378319,ov_il_beerbante_di_paolo_pezziga_44.9408_10.3783,Il Beerbante di Paolo Pezziga,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/il_beerbante_di_paolo_pezziga_44.9408_10.3783.json,custom
