# lat,lng,id,name,building_type,type,url,page_type
# Fiesso Umbertiano -- Tutti
44.961816,11.581085,ov_ospitaletto_44.9618_11.5811,Ospitaletto,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/fiesso_umbertiano/pages/ospitaletto_44.9618_11.5811.json,custom
44.946510,11.620922,ov_ristorante_pizzeria_gris__da_marco_44.9465_11.6209,Ristorante Pizzeria Grisù da Marco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/fiesso_umbertiano/pages/ristorante_pizzeria_gris_da_marco_44.9465_11.6209.json,custom
44.962705,11.602442,ov_l_osteria_44.9627_11.6024,L'Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/fiesso_umbertiano/pages/losteria_44.9627_11.6024.json,custom
44.961912,11.602940,ov_pizzeria_chiaro_di_luna_44.9619_11.6029,Pizzeria Chiaro di Luna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/fiesso_umbertiano/pages/pizzeria_chiaro_di_luna_44.9619_11.6029.json,custom
44.945932,11.621922,ov_fixsol_44.9459_11.6219,Fixsol,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/fiesso_umbertiano/pages/fixsol_44.9459_11.6219.json,custom
44.953414,11.618103,ov_bar_mora_44.9534_11.6181,Bar Mora,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/fiesso_umbertiano/pages/bar_mora_44.9534_11.6181.json,custom
44.960752,11.605953,ov_bar_haiti_44.9608_11.6060,Bar Haiti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/fiesso_umbertiano/pages/bar_haiti_44.9608_11.6060.json,custom
44.958692,11.603492,ov_il_kioschetto_dei_buonomo_44.9587_11.6035,il kioschetto dei Buonomo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/fiesso_umbertiano/pages/il_kioschetto_dei_buonomo_44.9587_11.6035.json,custom
44.962275,11.601506,ov_bar_araba_fenice_s_n_c__pampado_of_simon_44.9623_11.6015,Bar Araba Fenice S.n.c. Pampado of Simone & C.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/fiesso_umbertiano/pages/bar_araba_fenice_snc_pampado_of_simone_c_44.9623_11.6015.json,custom
44.962200,11.601650,ov_susita_bar_44.9622_11.6016,Susita Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/fiesso_umbertiano/pages/susita_bar_44.9622_11.6016.json,custom
44.961928,11.605336,ov_bar_tu_noi_e_le_stelle_44.9619_11.6053,Bar Tu Noi e le Stelle,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/fiesso_umbertiano/pages/bar_tu_noi_e_le_stelle_44.9619_11.6053.json,custom
44.962133,11.597659,ov_palazzetto_dello_sport_g_s__volpe_44.9621_11.5977,Palazzetto dello Sport G.S. Volpe,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/fiesso_umbertiano/pages/palazzetto_dello_sport_gs_volpe_44.9621_11.5977.json,custom
44.962051,11.602536,ov_biblioteca_fiesso_umbertiano_44.9621_11.6025,Biblioteca Fiesso Umbertiano,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/fiesso_umbertiano/pages/biblioteca_fiesso_umbertiano_44.9621_11.6025.json,custom
