# lat,lng,id,name,building_type,type,url,page_type
# gattinara -- Tutti
45.608932,8.372304,ov_ospedale_45.6089_8.3723,Ospedale,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/ospedale_45.6089_8.3723.json,custom
45.631201,8.372123,ov_ristorante_principe_45.6312_8.3721,Ristorante Principe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/ristorante_principe_45.6312_8.3721.json,custom
45.614466,8.371302,ov_la_brioska_45.6145_8.3713,La Brioska,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/la_brioska_45.6145_8.3713.json,custom
45.614698,8.371228,ov_l_ustaria_dla_pitta_45.6147_8.3712,L Ustaria dla Pitta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/l_ustaria_dla_pitta_45.6147_8.3712.json,custom
45.617366,8.371225,ov_ristorante_villa_paolotti_45.6174_8.3712,Ristorante Villa Paolotti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/ristorante_villa_paolotti_45.6174_8.3712.json,custom
45.616346,8.370894,ov_birimbao_45.6163_8.3709,Birimbao,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/birimbao_45.6163_8.3709.json,custom
45.616375,8.366403,ov_fermata_17_45.6164_8.3664,Fermata 17,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/fermata_17_45.6164_8.3664.json,custom
45.618271,8.370904,ov_pepe__e_sale_45.6183_8.3709,Pepe' e sale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/pepe_e_sale_45.6183_8.3709.json,custom
45.617773,8.371609,ov_ristorante_il_vigneto_45.6178_8.3716,Ristorante Il Vigneto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/ristorante_il_vigneto_45.6178_8.3716.json,custom
45.617729,8.371618,ov_vigneto_food_e_cocktail_experience_45.6177_8.3716,Vigneto Food e Cocktail Experience,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/vigneto_food_e_cocktail_experience_45.6177_8.3716.json,custom
45.617771,8.371116,ov_ristorante_magnolia_45.6178_8.3711,Ristorante Magnolia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/ristorante_magnolia_45.6178_8.3711.json,custom
45.614302,8.373673,ov_the_factory_45.6143_8.3737,The Factory,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/the_factory_45.6143_8.3737.json,custom
45.613246,8.364211,ov_pizza_flash_da_zio_carmine_45.6132_8.3642,Pizza Flash da Zio Carmine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/pizza_flash_da_zio_carmine_45.6132_8.3642.json,custom
45.613666,8.355741,ov_il_cortile_dei_frati_45.6137_8.3557,Il Cortile Dei Frati,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/il_cortile_dei_frati_45.6137_8.3557.json,custom
45.613561,8.368329,ov_osteria_contemporanea_45.6136_8.3683,Osteria Contemporanea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/osteria_contemporanea_45.6136_8.3683.json,custom
45.612517,8.371835,ov_trattoria_del_soggiorno_45.6125_8.3718,Trattoria del Soggiorno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/trattoria_del_soggiorno_45.6125_8.3718.json,custom
45.611455,8.365335,ov_master_pizza_45.6115_8.3653,Master Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/master_pizza_45.6115_8.3653.json,custom
45.610815,8.372273,ov_cucine_nervi_45.6108_8.3723,Cucine Nervi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/cucine_nervi_45.6108_8.3723.json,custom
45.600890,8.370890,ov_samba_caff__45.6009_8.3709,Samba Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/samba_caff_45.6009_8.3709.json,custom
45.628689,8.371946,ov_birimbao_snc_di_barbaglia_paolo_e_tizian_45.6287_8.3719,Birimbao SNC di Barbaglia Paolo e Tiziano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/birimbao_snc_di_barbaglia_paolo_e_tizian_45.6287_8.3719.json,custom
45.629923,8.371947,ov_bar_bloody_mary_caf__45.6299_8.3719,Bar Bloody Mary Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/bar_bloody_mary_caf_45.6299_8.3719.json,custom
45.616910,8.368881,ov_bar_jolly_45.6169_8.3689,Bar Jolly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/bar_jolly_45.6169_8.3689.json,custom
45.618236,8.371150,ov_meteor_pub_45.6182_8.3712,Meteor Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/meteor_pub_45.6182_8.3712.json,custom
45.617772,8.371118,ov_nuovo_caffe_firenze_45.6178_8.3711,Nuovo Caffe Firenze,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/nuovo_caffe_firenze_45.6178_8.3711.json,custom
45.619428,8.371020,ov_bar_charlie_brown_45.6194_8.3710,Bar Charlie Brown,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/bar_charlie_brown_45.6194_8.3710.json,custom
45.621080,8.369434,ov_il_chiosso_45.6211_8.3694,Il Chiosso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/il_chiosso_45.6211_8.3694.json,custom
45.614342,8.372898,ov_circolo_luigi_faglia_45.6143_8.3729,Circolo luigi faglia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/circolo_luigi_faglia_45.6143_8.3729.json,custom
45.613818,8.366523,ov_escobar_45.6138_8.3665,Escobar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/escobar_45.6138_8.3665.json,custom
45.613640,8.355872,ov_schubert_caffe_45.6136_8.3559,Schubert Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/schubert_caffe_45.6136_8.3559.json,custom
45.613592,8.355859,ov_bar_memo_45.6136_8.3559,Bar Memo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/bar_memo_45.6136_8.3559.json,custom
45.613585,8.358832,ov_mulligans_irishpub_restaurant_45.6136_8.3588,Mulligans IrishPub-Restaurant,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/mulligans_irishpub-restaurant_45.6136_8.3588.json,custom
45.612658,8.371758,ov_luxury_bar_45.6127_8.3718,Luxury bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/luxury_bar_45.6127_8.3718.json,custom
45.611394,8.347980,ov_bar_garibaldi_di_pavanello_mariano_45.6114_8.3480,BAR GARIBALDI di PAVANELLO MARIANO,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/bar_garibaldi_di_pavanello_mariano_45.6114_8.3480.json,custom
45.610450,8.371817,ov_la_raclette_di_gattinara_45.6105_8.3718,La Raclette di Gattinara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/la_raclette_di_gattinara_45.6105_8.3718.json,custom
45.609213,8.371805,ov_bar_gloria_45.6092_8.3718,Bar Gloria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/bar_gloria_45.6092_8.3718.json,custom
45.615587,8.371054,osm_orso_caf__45.6156_8.3711,Orso Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/orso_caf_45.6156_8.3711.json,custom
45.616301,8.366449,osm_fermata_17_45.6163_8.3664,Fermata 17,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/fermata_17_45.6163_8.3664.json,custom
45.582989,8.347838,ov_la_ginnastika_45.5830_8.3478,La Ginnastika,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/la_ginnastika_45.5830_8.3478.json,custom
45.617662,8.369095,ov_judo_gattinara_asd_45.6177_8.3691,Judo Gattinara Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/judo_gattinara_asd_45.6177_8.3691.json,custom
45.619005,8.378626,ov_gemini_riding_club_45.6190_8.3786,Gemini Riding Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/gemini_riding_club_45.6190_8.3786.json,custom
45.621308,8.370493,ov_body___sport_a_s_d_45.6213_8.3705,Body & Sport A.S.D,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/body_sport_asd_45.6213_8.3705.json,custom
45.634040,8.363228,ov_castello_di_san_lorenzo_45.6340_8.3632,Castello di San Lorenzo,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/castello_di_san_lorenzo_45.6340_8.3632.json,custom
45.622333,8.360679,ov_torre_delle_castelle_45.6223_8.3607,Torre delle castelle,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/torre_delle_castelle_45.6223_8.3607.json,custom
45.610741,8.369482,osm_ufficio_postale_di_gattinara_45.6107_8.3695,Ufficio postale di Gattinara,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/ufficio_postale_di_gattinara_45.6107_8.3695.json,custom
45.614252,8.371729,ov_biblioteca_civica_cardinale_mercurino_45.6143_8.3717,Biblioteca Civica Cardinale Mercurino,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/gattinara/pages/biblioteca_civica_cardinale_mercurino_45.6143_8.3717.json,custom
