# lat,lng,id,name,building_type,type
# bisceglie -- landmarks
41.241421,16.503829,ov_casa_museo_mauro_giuliani_41.2414_16.5038,Casa Museo Mauro Giuliani,MUSEUM,monumento
41.242175,16.503841,ov_museo_diocesano_41.2422_16.5038,Museo Diocesano,MUSEUM,monumento
41.240969,16.502770,ov_museo_civico_archeologico_41.2410_16.5028,Museo Civico Archeologico,MUSEUM,monumento
41.240450,16.505275,ov_castello_svevo_angioino_41.2404_16.5053,Castello Svevo Angioino,MONUMENT,monumento
41.237277,16.504260,ov_palazzo_tupputi___laboratorio_urbano_bis_41.2373_16.5043,Palazzo Tupputi - Laboratorio Urbano Bisceglie,MUSEUM,monumento
41.233300,16.500000,ov_dolmen_la_chianca_di_bisceglie_41.2333_16.5000,Dolmen La Chianca Di Bisceglie,MONUMENT,monumento
41.194046,16.487452,ov_dolmen_of_chianca_41.1940_16.4875,Dolmen of Chianca,MONUMENT,monumento
41.180249,16.509653,ov_dolmen_frisari_41.1802_16.5097,Dolmen Frisari,MONUMENT,monumento
