# lat,lng,id,name,building_type,type,url,page_type
# Bellegra -- Tutti
41.883930,13.026690,ov_studio_odontoiatrico_dott__daniele_fasci_41.8839_13.0267,Studio Odontoiatrico dott. Daniele Fasciolo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/bellegra/pages/studio_odontoiatrico_dott_daniele_fascio_41.8839_13.0267.json,custom
41.897982,13.011351,ov_ristorante_hotel_sancamillo_41.8980_13.0114,Ristorante Hotel Sancamillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/bellegra/pages/ristorante_hotel_sancamillo_41.8980_13.0114.json,custom
41.899214,13.002768,ov_ristorante_bar_pizzeria_da_violetta_41.8992_13.0028,Ristorante Bar Pizzeria da Violetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/bellegra/pages/ristorante_bar_pizzeria_da_violetta_41.8992_13.0028.json,custom
41.885725,13.044853,ov_trattoria_da_emilio_41.8857_13.0449,Trattoria da Emilio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/bellegra/pages/trattoria_da_emilio_41.8857_13.0449.json,custom
41.883223,13.027583,ov_bar_pasticceria_pizzeria_da_manuela_41.8832_13.0276,Bar pasticceria pizzeria Da Manuela,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/bellegra/pages/bar_pasticceria_pizzeria_da_manuela_41.8832_13.0276.json,custom
41.883248,13.027540,ov_pasticceria_pizzeria_bar_ciani_paola_41.8832_13.0275,Pasticceria pizzeria bar Ciani Paola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/bellegra/pages/pasticceria_pizzeria_bar_ciani_paola_41.8832_13.0275.json,custom
41.882515,13.028485,ov_il_mondo_della_pizza_41.8825_13.0285,Il Mondo Della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/bellegra/pages/il_mondo_della_pizza_41.8825_13.0285.json,custom
41.880937,13.041489,ov_fattoria_patrizi_agriturismo_41.8809_13.0415,Fattoria Patrizi Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/bellegra/pages/fattoria_patrizi_agriturismo_41.8809_13.0415.json,custom
41.879398,13.031490,ov_ristorante_da_costantino_41.8794_13.0315,Ristorante Da Costantino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/bellegra/pages/ristorante_da_costantino_41.8794_13.0315.json,custom
41.882286,13.028815,ov_bar_miramonti__nuova_gestione_41.8823_13.0288,BAR Miramonti. NUOVA Gestione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/bellegra/pages/bar_miramonti_nuova_gestione_41.8823_13.0288.json,custom
41.883154,13.027603,ov_salotto_retro_41.8832_13.0276,Salotto Retro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/bellegra/pages/salotto_retro_41.8832_13.0276.json,custom
41.882821,13.028419,ov_pub_forever_young_41.8828_13.0284,Pub Forever Young,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/bellegra/pages/pub_forever_young_41.8828_13.0284.json,custom
41.882579,13.028272,ov_bar_pascucci_41.8826_13.0283,Bar Pascucci,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/bellegra/pages/bar_pascucci_41.8826_13.0283.json,custom
41.880103,13.028676,ov_bar_green_stone_41.8801_13.0287,Bar Green Stone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/bellegra/pages/bar_green_stone_41.8801_13.0287.json,custom
41.867630,13.044840,ov_asd_bellegra_olevano_41.8676_13.0448,ASD Bellegra-Olevano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/bellegra/pages/asd_bellegra-olevano_41.8676_13.0448.json,custom
41.881021,13.028469,ov_asd_studio_23_41.8810_13.0285,ASD Studio 23,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/bellegra/pages/asd_studio_23_41.8810_13.0285.json,custom
