# lat,lng,id,name,building_type,type,url,page_type
# fiumefreddo_di_sicilia -- Tutti
37.792320,15.205340,ov_storie_di_un_chicco_di_grano_37.7923_15.2053,Storie di un Chicco di Grano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/fiumefreddo_di_sicilia/pages/storie_di_un_chicco_di_grano_37.7923_15.2053.json,custom
37.792783,15.196688,ov_bar_pasticceria_gelateria_santa_forzisi_37.7928_15.1967,Bar Pasticceria Gelateria Santa Forzisi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/fiumefreddo_di_sicilia/pages/bar_pasticceria_gelateria_santa_forzisi_37.7928_15.1967.json,custom
37.793076,15.208092,ov_pasticceria_de_natale_37.7931_15.2081,Pasticceria De Natale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/fiumefreddo_di_sicilia/pages/pasticceria_de_natale_37.7931_15.2081.json,custom
37.793218,15.216665,ov_cohiba_cafe_37.7932_15.2167,Cohiba Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/fiumefreddo_di_sicilia/pages/cohiba_cafe_37.7932_15.2167.json,custom
37.794034,15.208945,ov_bar_valery_37.7940_15.2089,Bar Valery,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/fiumefreddo_di_sicilia/pages/bar_valery_37.7940_15.2089.json,custom
37.797722,15.210517,ov_bar_caprice_37.7977_15.2105,Bar Caprice,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/fiumefreddo_di_sicilia/pages/bar_caprice_37.7977_15.2105.json,custom
37.799002,15.215173,ov_chiosco_bar_sirya_37.7990_15.2152,Chiosco Bar Sirya,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/fiumefreddo_di_sicilia/pages/chiosco_bar_sirya_37.7990_15.2152.json,custom
37.791730,15.210414,ov_a_d__palestra_dalli_37.7917_15.2104,A.D. Palestra Dalli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/fiumefreddo_di_sicilia/pages/ad_palestra_dalli_37.7917_15.2104.json,custom
37.793978,15.207970,ov_palestra_comunale_fiumefreddo_37.7940_15.2080,Palestra Comunale Fiumefreddo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/fiumefreddo_di_sicilia/pages/palestra_comunale_fiumefreddo_37.7940_15.2080.json,custom
37.798438,15.210915,ov_movimento_e_benessere_37.7984_15.2109,Movimento e Benessere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/fiumefreddo_di_sicilia/pages/movimento_e_benessere_37.7984_15.2109.json,custom
37.796343,15.205538,ov_clubpalestra_boxe_guglielmino_37.7963_15.2055,ClubPalestra Boxe Guglielmino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/fiumefreddo_di_sicilia/pages/clubpalestra_boxe_guglielmino_37.7963_15.2055.json,custom
37.796204,15.205704,ov_guglielmino_fitness_club_37.7962_15.2057,Guglielmino Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/fiumefreddo_di_sicilia/pages/guglielmino_fitness_club_37.7962_15.2057.json,custom
37.795049,15.212858,ov_associazione_cinofila_sportiva_piccoli_a_37.7950_15.2129,Associazione Cinofila Sportiva Piccoli Amici,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/fiumefreddo_di_sicilia/pages/associazione_cinofila_sportiva_piccoli_a_37.7950_15.2129.json,custom
37.791681,15.223460,ov_castello_degli_schiavi_37.7917_15.2235,Castello degli schiavi,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/fiumefreddo_di_sicilia/pages/castello_degli_schiavi_37.7917_15.2235.json,custom
