# lat,lng,id,name,building_type,type,url,page_type
# Brebbia -- Tutti
45.832967,8.658793,ov_fondazione_borghi_45.8330_8.6588,Fondazione Borghi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brebbia/pages/fondazione_borghi_45.8330_8.6588.json,custom
45.837676,8.634191,ov_chalet_di_brebbia_45.8377_8.6342,Chalet di Brebbia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brebbia/pages/chalet_di_brebbia_45.8377_8.6342.json,custom
45.832975,8.661780,ov_osteria_dama_45.8330_8.6618,Osteria DaMa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brebbia/pages/osteria_dama_45.8330_8.6618.json,custom
45.828828,8.650837,ov_il_centrale_04_45.8288_8.6508,IL centrale 04,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brebbia/pages/il_centrale_04_45.8288_8.6508.json,custom
45.828566,8.639132,ov_agriturismo_il_pivione_45.8286_8.6391,Agriturismo il Pivione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brebbia/pages/agriturismo_il_pivione_45.8286_8.6391.json,custom
45.828243,8.647601,ov_oasi_pizza_brebbia_45.8282_8.6476,Oasi Pizza brebbia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brebbia/pages/oasi_pizza_brebbia_45.8282_8.6476.json,custom
45.828411,8.639406,osm_il_pivione_45.8284_8.6394,Il Pivione,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brebbia/pages/il_pivione_45.8284_8.6394.json,custom
45.829089,8.651752,ov_il_tuo_bar_45.8291_8.6518,Il tuo bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brebbia/pages/il_tuo_bar_45.8291_8.6518.json,custom
45.825418,8.643605,ov_relax_cafe_45.8254_8.6436,Relax Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brebbia/pages/relax_cafe_45.8254_8.6436.json,custom
45.833292,8.658952,osm_bar_bajadero_45.8333_8.6590,Bar Bajadero,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brebbia/pages/bar_bajadero_45.8333_8.6590.json,custom
45.820386,8.653975,ov_cavalieri_del_raggio_verde_45.8204_8.6540,Cavalieri del Raggio Verde,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brebbia/pages/cavalieri_del_raggio_verde_45.8204_8.6540.json,custom
45.825965,8.654612,ov_centro_ippico_aquilante_45.8260_8.6546,Centro Ippico Aquilante,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brebbia/pages/centro_ippico_aquilante_45.8260_8.6546.json,custom
45.827934,8.652232,ov_oratorio_don_bosco_45.8279_8.6522,Oratorio Don Bosco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brebbia/pages/oratorio_don_bosco_45.8279_8.6522.json,custom
45.826954,8.651785,ov_nuoto_club_brebbia_45.8270_8.6518,Nuoto club Brebbia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brebbia/pages/nuoto_club_brebbia_45.8270_8.6518.json,custom
45.826888,8.651084,ov_sport_e_benessere_wellness_club_45.8269_8.6511,Sport e Benessere Wellness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brebbia/pages/sport_e_benessere_wellness_club_45.8269_8.6511.json,custom
45.828317,8.651798,osm_brebbia_45.8283_8.6518,Brebbia,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brebbia/pages/brebbia_45.8283_8.6518.json,custom
