# lat,lng,id,name,building_type,type,url,page_type
# luserna_san_giovanni -- Tutti
44.813332,7.248526,ov_valpe_medica_44.8133_7.2485,Valpe Medica,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/valpe_medica_44.8133_7.2485.json,custom
44.818850,7.256712,ov_ristorante_bar_l_fujot_44.8189_7.2567,Ristorante Bar L Fujot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/ristorante_bar_l_fujot_44.8189_7.2567.json,custom
44.816514,7.239922,ov_al_solito_posto_44.8165_7.2399,Al Solito Posto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/al_solito_posto_44.8165_7.2399.json,custom
44.821533,7.233561,ov_cose_buone_44.8215_7.2336,Cose Buone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/cose_buone_44.8215_7.2336.json,custom
44.820284,7.231553,ov_happy_tabacchi__e_bar_44.8203_7.2316,HAPPY tabacchi  E BAR,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/happy_tabacchi_e_bar_44.8203_7.2316.json,custom
44.812807,7.241178,ov_il_bersaglio_s_n_c_44.8128_7.2412,Il Bersaglio S.n.c,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/il_bersaglio_snc_44.8128_7.2412.json,custom
44.814444,7.243571,ov_pizzeria_antico_camin_44.8144_7.2436,Pizzeria Antico Camin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/pizzeria_antico_camin_44.8144_7.2436.json,custom
44.813543,7.246954,ov_i_stanbul_casa_del_kebap_44.8135_7.2470,İSTANBUL Casa Del KEBAP,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/istanbul_casa_del_kebap_44.8135_7.2470.json,custom
44.813666,7.245817,ov_pizza_with_love_44.8137_7.2458,Pizza with love,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/pizza_with_love_44.8137_7.2458.json,custom
44.813178,7.247183,ov_bar__ristorante_albergo_centrale_44.8132_7.2472,Bar  ristorante albergo centrale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/bar_ristorante_albergo_centrale_44.8132_7.2472.json,custom
44.810125,7.242596,ov_trattoria_bocciodromo_44.8101_7.2426,Trattoria Bocciodromo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/trattoria_bocciodromo_44.8101_7.2426.json,custom
