# lat,lng,id,name,building_type,type,url,page_type
# Carvico -- Tutti
45.703409,9.479422,ov_dr__lorenzo_veterinario_valsecchi_45.7034_9.4794,Dr. Lorenzo Veterinario Valsecchi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/carvico/pages/dr_lorenzo_veterinario_valsecchi_45.7034_9.4794.json,custom
45.695701,9.481129,ov_mcdonald_s_45.6957_9.4811,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/carvico/pages/mcdonalds_45.6957_9.4811.json,custom
45.708619,9.483996,ov_la_forchetta_d_oro_45.7086_9.4840,La Forchetta d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/carvico/pages/la_forchetta_doro_45.7086_9.4840.json,custom
45.703617,9.485695,ov_pizza_classic_di_gjoni_mirjan_45.7036_9.4857,Pizza Classic di GJONI MIRJAN,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/carvico/pages/pizza_classic_di_gjoni_mirjan_45.7036_9.4857.json,custom
45.700235,9.486744,ov_taverna_081_45.7002_9.4867,Taverna 081,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/carvico/pages/taverna_081_45.7002_9.4867.json,custom
45.700096,9.486625,ov_taverna_081_45.7001_9.4866,Taverna 081,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/carvico/pages/taverna_081_45.7001_9.4866.json,custom
45.699755,9.495330,ov_ristorante_albergo_da_giovanni_45.6998_9.4953,Ristorante Albergo da Giovanni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/carvico/pages/ristorante_albergo_da_giovanni_45.6998_9.4953.json,custom
45.701485,9.479564,ov_la_bottega_del_vino_45.7015_9.4796,La Bottega Del Vino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/carvico/pages/la_bottega_del_vino_45.7015_9.4796.json,custom
45.703727,9.479897,ov_la_farmacia_dei_sani_45.7037_9.4799,La Farmacia dei Sani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/carvico/pages/la_farmacia_dei_sani_45.7037_9.4799.json,custom
45.704532,9.480228,ov_ca__busa_social_bar_45.7045_9.4802,Ca' Busa Social Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/carvico/pages/ca_busa_social_bar_45.7045_9.4802.json,custom
45.699832,9.491898,osm_panfrutta___co__45.6998_9.4919,PanFrutta & Co.,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/carvico/pages/panfrutta_co_45.6998_9.4919.json,custom
45.686893,9.459852,ov_04bubu_04129___arcieri_dell_isola_bergam_45.6869_9.4599,04BUBU 04129 - Arcieri dell'Isola Bergamasca Orobici ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/carvico/pages/04bubu_04129_-_arcieri_dellisola_bergama_45.6869_9.4599.json,custom
45.704728,9.484294,ov_asd_boxe___fun_45.7047_9.4843,Asd Boxe & Fun,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/carvico/pages/asd_boxe_fun_45.7047_9.4843.json,custom
45.699882,9.492114,ov_studio_pilates_riva_45.6999_9.4921,studio pilates riva,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/carvico/pages/studio_pilates_riva_45.6999_9.4921.json,custom
