# lat,lng,id,name,building_type,type,url,page_type
# Busca -- Tutti
44.513275,7.471925,osm_bar_belvedere_44.5133_7.4719,Bar Belvedere,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/busca/pages/bar_belvedere_44.5133_7.4719.json,custom
44.528090,7.473250,ov_scuderia_san_quintino_44.5281_7.4733,Scuderia San Quintino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/busca/pages/scuderia_san_quintino_44.5281_7.4733.json,custom
44.534383,7.492295,ov_centro_ippico_baby_horse_44.5344_7.4923,Centro Ippico Baby Horse,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/busca/pages/centro_ippico_baby_horse_44.5344_7.4923.json,custom
44.505400,7.489780,ov_fitness_academy_asd_busca_44.5054_7.4898,Fitness Academy ASD Busca,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/busca/pages/fitness_academy_asd_busca_44.5054_7.4898.json,custom
44.495414,7.504604,ov_kartodromo_di_busca_44.4954_7.5046,Kartodromo di Busca,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/busca/pages/kartodromo_di_busca_44.4954_7.5046.json,custom
44.502042,7.490912,ov_a_tu_per_tu____boutique_gym_44.5020_7.4909,A tu per tu -  Boutique Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/busca/pages/a_tu_per_tu_-_boutique_gym_44.5020_7.4909.json,custom
44.498792,7.491648,ov_12022_sport_44.4988_7.4916,12022 Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/busca/pages/12022_sport_44.4988_7.4916.json,custom
44.516455,7.477686,ov_palestra_body_style_44.5165_7.4777,Palestra Body Style,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/busca/pages/palestra_body_style_44.5165_7.4777.json,custom
44.529523,7.468306,ov_castello_del_roccolo_44.5295_7.4683,Castello del Roccolo,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/busca/pages/castello_del_roccolo_44.5295_7.4683.json,custom
44.511306,7.471730,ov_parco_museo_dell_ingenio_44.5113_7.4717,Parco-Museo dell'Ingenio,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/busca/pages/parco-museo_dellingenio_44.5113_7.4717.json,custom
44.513529,7.473418,ov_biblioteca_civica_busca_44.5135_7.4734,Biblioteca Civica Busca,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/busca/pages/biblioteca_civica_busca_44.5135_7.4734.json,custom
