# lat,lng,id,name,building_type,type,url,page_type
# sezze -- Tutti
41.500475,13.062479,ov_ospedale_civile_san_carlo_41.5005_13.0625,Ospedale Civile San Carlo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/ospedale_civile_san_carlo_41.5005_13.0625.json,custom
41.498245,13.059419,osm_cocktail_bar_bistrot_san_pietro_41.4982_13.0594,Cocktail Bar Bistrot San Pietro,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/cocktail_bar_bistrot_san_pietro_41.4982_13.0594.json,custom
41.442829,13.020306,ov_cross_appia_41.4428_13.0203,Cross Appia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/cross_appia_41.4428_13.0203.json,custom
41.477898,13.034084,ov_setiland_parco_41.4779_13.0341,Setiland Parco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/setiland_parco_41.4779_13.0341.json,custom
41.498397,13.037597,ov_palestra_gladiator_41.4984_13.0376,Palestra Gladiator,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/palestra_gladiator_41.4984_13.0376.json,custom
41.500430,13.058250,ov_centro_yoga_sezze_41.5004_13.0582,Centro Yoga Sezze,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/centro_yoga_sezze_41.5004_13.0582.json,custom
41.502677,13.057162,ov_circolo_sportivo_calcio_a_5_crocemoshitt_41.5027_13.0572,Circolo sportivo calcio a 5 crocemoshitto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/circolo_sportivo_calcio_a_5_crocemoshitt_41.5027_13.0572.json,custom
41.501680,13.055338,ov_progetto_enduro_41.5017_13.0553,Progetto enduro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/progetto_enduro_41.5017_13.0553.json,custom
41.508315,13.071450,ov_v_sport_sezze_41.5083_13.0714,V-Sport Sezze,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/v-sport_sezze_41.5083_13.0714.json,custom
41.501903,13.066288,ov_spring_time_due_41.5019_13.0663,Spring Time Due,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/spring_time_due_41.5019_13.0663.json,custom
41.499655,13.061503,ov_grillo_novum_41.4997_13.0615,Grillo Novum,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/grillo_novum_41.4997_13.0615.json,custom
41.504149,13.078726,ov_gv_gym_village_41.5041_13.0787,GV Gym Village,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/gv_gym_village_41.5041_13.0787.json,custom
41.522723,13.076545,ov_centro_ippico_semprevisa_41.5227_13.0765,Centro Ippico Semprevisa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/centro_ippico_semprevisa_41.5227_13.0765.json,custom
41.498270,13.060580,ov_museo_del_giocattolo_di_sezze_41.4983_13.0606,Museo del Giocattolo di Sezze,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/museo_del_giocattolo_di_sezze_41.4983_13.0606.json,custom
41.498418,13.057958,ov_museo_archeologico_comunale_41.4984_13.0580,Museo archeologico Comunale,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/museo_archeologico_comunale_41.4984_13.0580.json,custom
41.501739,13.056074,ov_la_valle_cunnula__setia_41.5017_13.0561,"La Valle Cunnula, Setia",MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/la_valle_cunnula_setia_41.5017_13.0561.json,custom
41.526112,13.061113,ov_spazio33___laboratorio_artistico_sperime_41.5261_13.0611,Spazio33 - Laboratorio Artistico Sperimentale,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/spazio33_-_laboratorio_artistico_sperime_41.5261_13.0611.json,custom
41.495954,13.041210,ov_biblioteca_comunale_di_sezze_scalo_41.4960_13.0412,Biblioteca Comunale di Sezze Scalo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/biblioteca_comunale_di_sezze_scalo_41.4960_13.0412.json,custom
41.497912,13.058743,ov_biblioteca_comunale_di_sezze_41.4979_13.0587,Biblioteca Comunale di Sezze,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/biblioteca_comunale_di_sezze_41.4979_13.0587.json,custom
41.504690,12.999060,ov_stazione_di_servizio_eni_di_andrea_di_tr_41.5047_12.9991,Stazione di Servizio Eni di Andrea Di Trapano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/stazione_di_servizio_eni_di_andrea_di_tr_41.5047_12.9991.json,custom
41.529233,12.739644,ov_futura_building_srl_41.5292_12.7396,Futura Building Srl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/futura_building_srl_41.5292_12.7396.json,custom
