# lat,lng,id,name,building_type,type,url,page_type
# Villafranca Padovana -- Tutti
45.463794,11.781517,ov_ospedale_civile_di_padova_45.4638_11.7815,Ospedale Civile di Padova,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/ospedale_civile_di_padova_45.4638_11.7815.json,custom
45.494329,11.789158,ov_pizzeria_da_edo_45.4943_11.7892,Pizzeria Da Edo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/pizzeria_da_edo_45.4943_11.7892.json,custom
45.496169,11.796416,ov_villarock_45.4962_11.7964,Villarock,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/villarock_45.4962_11.7964.json,custom
45.492632,11.799726,ov_bar_trattoria_l_alambicco_45.4926_11.7997,Bar Trattoria l'Alambicco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/bar_trattoria_lalambicco_45.4926_11.7997.json,custom
45.468192,11.816358,ov_che_pizza__da_salva_45.4682_11.8164,Che Pizza! da Salva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/che_pizza_da_salva_45.4682_11.8164.json,custom
45.463449,11.780436,ov_yellow_pizza_45.4634_11.7804,Yellow Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/yellow_pizza_45.4634_11.7804.json,custom
45.463625,11.779905,ov_trattoria_da_iva_45.4636_11.7799,Trattoria Da Iva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/trattoria_da_iva_45.4636_11.7799.json,custom
45.458788,11.806516,ov_ristorante_pizzeria_al_lago_45.4588_11.8065,Ristorante Pizzeria Al Lago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/ristorante_pizzeria_al_lago_45.4588_11.8065.json,custom
45.456404,11.824342,ov_punto_pizza_45.4564_11.8243,Punto Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/punto_pizza_45.4564_11.8243.json,custom
45.456263,11.824251,ov_la_terrazza_ape_e_cucina_45.4563_11.8243,La Terrazza Ape e Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/la_terrazza_ape_e_cucina_45.4563_11.8243.json,custom
45.447285,11.829208,ov_trattoria_al_gallo_45.4473_11.8292,Trattoria Al Gallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/trattoria_al_gallo_45.4473_11.8292.json,custom
45.447943,11.829267,ov_da_samer_45.4479_11.8293,Da Samer,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/da_samer_45.4479_11.8293.json,custom
45.522992,11.777821,osm_azienda_agrituristica_il_pozzo_45.5230_11.7778,Azienda Agrituristica Il Pozzo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/azienda_agrituristica_il_pozzo_45.5230_11.7778.json,custom
45.495223,11.797827,ov_bar_baraonda_45.4952_11.7978,Bar Baraonda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/bar_baraonda_45.4952_11.7978.json,custom
45.492173,11.799781,ov_wild_hop_birreria_indipendente_45.4922_11.7998,Wild Hop Birreria Indipendente,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/wild_hop_birreria_indipendente_45.4922_11.7998.json,custom
45.491222,11.796064,ov_bar_da_gioia_45.4912_11.7961,Bar da Gioia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/bar_da_gioia_45.4912_11.7961.json,custom
45.469626,11.815149,ov_bar_tabaccheria_ai_grandi_45.4696_11.8151,Bar Tabaccheria Ai Grandi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/bar_tabaccheria_ai_grandi_45.4696_11.8151.json,custom
45.458142,11.774773,ov_da_agostino_45.4581_11.7748,Da Agostino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/da_agostino_45.4581_11.7748.json,custom
45.455089,11.775068,ov_birrificio_antoniano_45.4551_11.7751,Birrificio Antoniano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/birrificio_antoniano_45.4551_11.7751.json,custom
45.495223,11.797738,osm_baraonda_45.4952_11.7977,Baraonda,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/baraonda_45.4952_11.7977.json,custom
45.492707,11.799803,osm_bar_trattoria_l_alambicco_45.4927_11.7998,Bar Trattoria l'Alambicco,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/bar_trattoria_lalambicco_45.4927_11.7998.json,custom
45.494253,11.791174,ov_asd_athlon_45.4943_11.7912,Asd athlon,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/asd_athlon_45.4943_11.7912.json,custom
45.461042,11.821156,ov_astarte_danza_a_s_d__45.4610_11.8212,Astarte Danza A.S.D.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/astarte_danza_asd_45.4610_11.8212.json,custom
45.459286,11.822133,ov_accademia_passione_danza_selena_ssd_a_r__45.4593_11.8221,Accademia Passione Danza Selena Ssd a r.l.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/accademia_passione_danza_selena_ssd_a_rl_45.4593_11.8221.json,custom
45.494151,11.791192,osm_a_s_d_athlon_45.4942_11.7912,A.S.D.Athlon,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/asdathlon_45.4942_11.7912.json,custom
45.494590,11.798210,osm_poste_italiane_45.4946_11.7982,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/poste_italiane_45.4946_11.7982.json,custom
45.495096,11.796932,osm_biblioteca_comunale_45.4951_11.7969,Biblioteca comunale,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villafranca_padovana/pages/biblioteca_comunale_45.4951_11.7969.json,custom
