# lat,lng,id,name,building_type,type,url,page_type
# Inveruno -- Tutti
45.514290,8.856906,ov_clinica_san_siro_45.5143_8.8569,Clinica San Siro,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/clinica_san_siro_45.5143_8.8569.json,custom
45.509373,8.838147,ov_mercato_del_mare_by_merenpesca_45.5094_8.8381,Mercato del mare by Merenpesca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/mercato_del_mare_by_merenpesca_45.5094_8.8381.json,custom
45.514820,8.854370,ov_circolo_san_martino___inveruno__milano__45.5148_8.8544,Circolo San Martino - Inveruno (Milano),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/circolo_san_martino_-_inveruno_milano_45.5148_8.8544.json,custom
45.514472,8.850847,ov_oggi_pizza_45.5145_8.8508,Oggi Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/oggi_pizza_45.5145_8.8508.json,custom
45.515279,8.853066,ov_bistr__di_via_dante_45.5153_8.8531,Bistrò di Via Dante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/bistr_di_via_dante_45.5153_8.8531.json,custom
45.514590,8.848082,ov_italian_pizza_inveruno_45.5146_8.8481,Italian Pizza Inveruno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/italian_pizza_inveruno_45.5146_8.8481.json,custom
45.514931,8.849632,ov_sardinia_ristorante_pizzeria_45.5149_8.8496,Sardinia Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/sardinia_ristorante_pizzeria_45.5149_8.8496.json,custom
45.513951,8.836131,ov_bottega_della_cascina_garagiola_45.5140_8.8361,Bottega della Cascina Garagiola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/bottega_della_cascina_garagiola_45.5140_8.8361.json,custom
45.512761,8.850153,ov_doppia_mozzarella_45.5128_8.8502,Doppia Mozzarella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/doppia_mozzarella_45.5128_8.8502.json,custom
45.513119,8.850748,ov_osteria_san_martino_45.5131_8.8507,Osteria San Martino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/osteria_san_martino_45.5131_8.8507.json,custom
45.513511,8.851327,ov_la_storia_infinita_45.5135_8.8513,La Storia Infinita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/la_storia_infinita_45.5135_8.8513.json,custom
45.511498,8.852544,ov_sunflower_45.5115_8.8525,Sunflower,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/sunflower_45.5115_8.8525.json,custom
