# lat,lng,id,name,building_type,type,url,page_type
# Buscate -- Tutti
45.544230,8.815130,ov_effecimedica_buscate_45.5442_8.8151,Effecimedica Buscate,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/buscate/pages/effecimedica_buscate_45.5442_8.8151.json,custom
45.545525,8.813709,ov_strapizzati_45.5455_8.8137,Strapizzati,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/buscate/pages/strapizzati_45.5455_8.8137.json,custom
45.544460,8.813345,ov_grande_fratello___pizza___pinsa___come_u_45.5445_8.8133,Grande Fratello - Pizza & Pinsa - Come una volta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/buscate/pages/grande_fratello_-_pizza_pinsa_-_come_una_45.5445_8.8133.json,custom
45.543838,8.812686,ov_mandala_45.5438_8.8127,Mandala,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/buscate/pages/mandala_45.5438_8.8127.json,custom
45.541285,8.812166,ov_don_carlos_45.5413_8.8122,Don Carlos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/buscate/pages/don_carlos_45.5413_8.8122.json,custom
45.549150,8.818890,ov_sushiko_magnago_45.5491_8.8189,Sushiko Magnago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/buscate/pages/sushiko_magnago_45.5491_8.8189.json,custom
45.545440,8.820410,ov_ristorante_fujiyama_45.5454_8.8204,Ristorante Fujiyama,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/buscate/pages/ristorante_fujiyama_45.5454_8.8204.json,custom
45.544700,8.812019,ov_bar_da_rino_45.5447_8.8120,Bar da Rino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/buscate/pages/bar_da_rino_45.5447_8.8120.json,custom
45.544484,8.811963,ov_birra_4b___la_birra_artigianale_a_km0_pe_45.5445_8.8120,Birra 4B - La birra artigianale a Km0 per Bikers,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/buscate/pages/birra_4b_-_la_birra_artigianale_a_km0_pe_45.5445_8.8120.json,custom
45.544240,8.814410,ov_winebar_45.5442_8.8144,Winebar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/buscate/pages/winebar_45.5442_8.8144.json,custom
45.545912,8.817924,ov_sci_club_amici_dei_monti_45.5459_8.8179,Sci Club Amici Dei Monti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/buscate/pages/sci_club_amici_dei_monti_45.5459_8.8179.json,custom
45.546070,8.818112,ov_oratorio_don_bosco_45.5461_8.8181,Oratorio Don Bosco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/buscate/pages/oratorio_don_bosco_45.5461_8.8181.json,custom
45.544970,8.815760,ov_urban_connections_asd_45.5450_8.8158,Urban Connections Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/buscate/pages/urban_connections_asd_45.5450_8.8158.json,custom
