# lat,lng,id,name,building_type,type,url,page_type
# Sant'Agnello -- Tutti
40.632019,14.398335,ov_asl_59_40.6320_14.3983,Asl 59,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/asl_59_40.6320_14.3983.json,custom
40.635045,14.399677,ov_tenuta_il_pizzo_40.6350_14.3997,Tenuta il PIZZO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/tenuta_il_pizzo_40.6350_14.3997.json,custom
40.638577,14.401891,ov_tirimbo_40.6386_14.4019,Tirimbo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/tirimbo_40.6386_14.4019.json,custom
40.635103,14.390006,ov_bar_la_terrazza___sant_agnello_40.6351_14.3900,Bar La Terrazza - Sant'Agnello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/bar_la_terrazza_-_santagnello_40.6351_14.3900.json,custom
40.634808,14.390020,ov_la_marinella_40.6348_14.3900,La Marinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/la_marinella_40.6348_14.3900.json,custom
40.633109,14.391189,ov_il_capanno_40.6331_14.3912,Il Capanno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/il_capanno_40.6331_14.3912.json,custom
40.635186,14.390699,ov_ristorante_corallo_40.6352_14.3907,Ristorante Corallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/ristorante_corallo_40.6352_14.3907.json,custom
40.634696,14.390555,ov_vesuvio_panoramic_restaurant_40.6347_14.3906,Vesuvio Panoramic Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/vesuvio_panoramic_restaurant_40.6347_14.3906.json,custom
40.635049,14.390108,ov_terrazza_mediterraneo_italian_bistrot_40.6350_14.3901,Terrazza Mediterraneo Italian Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/terrazza_mediterraneo_italian_bistrot_40.6350_14.3901.json,custom
40.636195,14.391533,ov_nazar__40.6362_14.3915,Nazarè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/nazar_40.6362_14.3915.json,custom
40.633141,14.391374,ov_il_ruttino_40.6331_14.3914,Il Ruttino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/il_ruttino_40.6331_14.3914.json,custom
