# lat,lng,id,name,building_type,type,url,page_type
# Collevecchio -- Tutti
42.318909,12.537896,ov_croce_verde_collevecchio_42.3189_12.5379,Croce Verde Collevecchio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/collevecchio/pages/croce_verde_collevecchio_42.3189_12.5379.json,custom
42.336634,12.552872,ov_conviviovegetariano_42.3366_12.5529,Conviviovegetariano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/collevecchio/pages/conviviovegetariano_42.3366_12.5529.json,custom
42.321476,12.552829,ov_home_restaurant_valle_rio_42.3215_12.5528,Home Restaurant Valle Rio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/collevecchio/pages/home_restaurant_valle_rio_42.3215_12.5528.json,custom
42.308701,12.526292,ov_l_officina_del_gusto_sabina_42.3087_12.5263,L'Officina del Gusto Sabina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/collevecchio/pages/lofficina_del_gusto_sabina_42.3087_12.5263.json,custom
42.308841,12.524953,ov_la_finestra_sul_tevere_42.3088_12.5250,La Finestra sul Tevere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/collevecchio/pages/la_finestra_sul_tevere_42.3088_12.5250.json,custom
42.321923,12.538558,ov_ristorante_l_oasi_del_colle_42.3219_12.5386,Ristorante L'Oasi del Colle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/collevecchio/pages/ristorante_loasi_del_colle_42.3219_12.5386.json,custom
42.335068,12.552258,osm_scucchia_luana_42.3351_12.5523,Scucchia Luana,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/collevecchio/pages/scucchia_luana_42.3351_12.5523.json,custom
42.316721,12.532431,ov_bar_jolly_blu_42.3167_12.5324,Bar Jolly Blu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/collevecchio/pages/bar_jolly_blu_42.3167_12.5324.json,custom
42.334925,12.552041,osm_poste_italiane_42.3349_12.5520,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/collevecchio/pages/poste_italiane_42.3349_12.5520.json,custom
