# lat,lng,id,name,building_type,type,url,page_type
# oppido_mamertina -- Tutti
38.289968,15.986597,ov_presidio_ospedaliero_maria_pia_di_savoia_38.2900_15.9866,Presidio Ospedaliero Maria Pia di Savoia,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/oppido_mamertina/pages/presidio_ospedaliero_maria_pia_di_savoia_38.2900_15.9866.json,custom
38.299669,15.980674,ov_sunflower_38.2997_15.9807,Sunflower,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/oppido_mamertina/pages/sunflower_38.2997_15.9807.json,custom
38.297973,15.999046,ov_ristorante_da_mugghieri_38.2980_15.9990,Ristorante Da Mugghieri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/oppido_mamertina/pages/ristorante_da_mugghieri_38.2980_15.9990.json,custom
38.292712,15.983756,ov_caffetteria_del_corso_38.2927_15.9838,Caffetteria del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/oppido_mamertina/pages/caffetteria_del_corso_38.2927_15.9838.json,custom
38.294176,15.985163,ov_brewdop_birrificio_artigianale_38.2942_15.9852,Brewdop Birrificio Artigianale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/oppido_mamertina/pages/brewdop_birrificio_artigianale_38.2942_15.9852.json,custom
38.288903,15.984488,ov_frisina_saverio_38.2889_15.9845,Frisina Saverio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/oppido_mamertina/pages/frisina_saverio_38.2889_15.9845.json,custom
38.303351,15.995286,ov_cantina_surace_38.3034_15.9953,Cantina Surace,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/oppido_mamertina/pages/cantina_surace_38.3034_15.9953.json,custom
38.288110,15.985429,ov_museo_diocesano_oppido_palmi_38.2881_15.9854,Museo Diocesano Oppido Palmi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/oppido_mamertina/pages/museo_diocesano_oppido_palmi_38.2881_15.9854.json,custom
38.287530,15.985660,ov_biblioteca_e_archivio_storico_diocesani__38.2875_15.9857,Biblioteca e Archivio Storico Diocesani Oppido Mamertina,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/oppido_mamertina/pages/biblioteca_e_archivio_storico_diocesani__38.2875_15.9857.json,custom
