# lat,lng,id,name,building_type,type,url,page_type
# Carmignano di Brenta -- Tutti
45.627158,11.702758,ov_ulss_6_45.6272_11.7028,ULSS 6,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/carmignano_di_brenta/pages/ulss_6_45.6272_11.7028.json,custom
45.649313,11.698515,ov_ristorante_al_focolare_45.6493_11.6985,Ristorante al Focolare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/carmignano_di_brenta/pages/ristorante_al_focolare_45.6493_11.6985.json,custom
45.648233,11.695972,ov_belussi_beer_food_45.6482_11.6960,Belussi Beer&Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/carmignano_di_brenta/pages/belussi_beerfood_45.6482_11.6960.json,custom
45.627700,11.698601,ov_punto_pizza_45.6277_11.6986,Punto Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/carmignano_di_brenta/pages/punto_pizza_45.6277_11.6986.json,custom
45.625341,11.698397,ov_pizzeria_da_enrico_45.6253_11.6984,Pizzeria Da Enrico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/carmignano_di_brenta/pages/pizzeria_da_enrico_45.6253_11.6984.json,custom
45.626558,11.702377,ov_croce_rossa_italiana_45.6266_11.7024,Croce Rossa Italiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/carmignano_di_brenta/pages/croce_rossa_italiana_45.6266_11.7024.json,custom
45.628229,11.701874,ov_drio_l_angolo_pizzeria_friggitoria_d_asp_45.6282_11.7019,Drio L'Angolo Pizzeria Friggitoria D'Asporto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/carmignano_di_brenta/pages/drio_langolo_pizzeria_friggitoria_daspor_45.6282_11.7019.json,custom
45.629597,11.702220,ov_istanbul_kebap_45.6296_11.7022,Istanbul Kebap,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/carmignano_di_brenta/pages/istanbul_kebap_45.6296_11.7022.json,custom
45.621430,11.714220,ov_al_sole_camazzole_45.6214_11.7142,Al Sole Camazzole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/carmignano_di_brenta/pages/al_sole_camazzole_45.6214_11.7142.json,custom
45.621450,11.711780,ov_bottega_della_pizza_45.6215_11.7118,Bottega della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/carmignano_di_brenta/pages/bottega_della_pizza_45.6215_11.7118.json,custom
45.655593,11.687926,osm_ristorante_tre_rose_45.6556_11.6879,Ristorante Tre Rose,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/carmignano_di_brenta/pages/ristorante_tre_rose_45.6556_11.6879.json,custom
45.648181,11.695976,ov_da_l_informae_45.6482_11.6960,Da l'Informae,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/carmignano_di_brenta/pages/da_linformae_45.6482_11.6960.json,custom
45.628400,11.701662,ov_i_dogi_45.6284_11.7017,I Dogi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/carmignano_di_brenta/pages/i_dogi_45.6284_11.7017.json,custom
45.628785,11.701084,ov_blues_cafe_45.6288_11.7011,Blues Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/carmignano_di_brenta/pages/blues_cafe_45.6288_11.7011.json,custom
