# lat,lng,id,name,building_type,type,url,page_type
# Bad Bleiberg -- Tutti
46.627750,13.674469,ov_kurzentrum_bad_bleiberg_46.6277_13.6745,Kurzentrum Bad Bleiberg,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_bleiberg/pages/kurzentrum_bad_bleiberg_46.6277_13.6745.json,custom
46.628090,13.654667,ov_pizzaeck_il_pipistrello_46.6281_13.6547,Pizzaeck Il Pipistrello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_bleiberg/pages/pizzaeck_il_pipistrello_46.6281_13.6547.json,custom
46.628270,13.654730,ov_gasthof_oberrauner_vulgo_rudolfshube_46.6283_13.6547,Gasthof Oberrauner vulgo Rudolfshube,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_bleiberg/pages/gasthof_oberrauner_vulgo_rudolfshube_46.6283_13.6547.json,custom
46.626960,13.645237,ov_gasthaus_wirnsperger_bergwerk_46.6270_13.6452,Gasthaus Wirnsperger Bergwerk,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_bleiberg/pages/gasthaus_wirnsperger_bergwerk_46.6270_13.6452.json,custom
46.624688,13.686554,ov_restaurant_bergmand_l_46.6247_13.6866,Restaurant Bergmand'l,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_bleiberg/pages/restaurant_bergmandl_46.6247_13.6866.json,custom
46.624660,13.686686,ov_restaurant_knappenhaus_46.6247_13.6867,Restaurant Knappenhaus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_bleiberg/pages/restaurant_knappenhaus_46.6247_13.6867.json,custom
46.624379,13.687936,ov_kulturwirt_zum_mohren_46.6244_13.6879,Kulturwirt Zum Mohren,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_bleiberg/pages/kulturwirt_zum_mohren_46.6244_13.6879.json,custom
46.593344,13.710568,ov_almgasthaus_rosstratten_46.5933_13.7106,Almgasthaus Rosstratten,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_bleiberg/pages/almgasthaus_rosstratten_46.5933_13.7106.json,custom
46.603217,13.671941,osm_dobratsch_gipfelhaus_46.6032_13.6719,Dobratsch Gipfelhaus,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_bleiberg/pages/dobratsch_gipfelhaus_46.6032_13.6719.json,custom
46.626168,13.675898,ov_cafe_rondeau_46.6262_13.6759,Cafe Rondeau,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_bleiberg/pages/cafe_rondeau_46.6262_13.6759.json,custom
46.626168,13.675898,ov_blei_pub_46.6262_13.6759,Blei Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_bleiberg/pages/blei_pub_46.6262_13.6759.json,custom
46.624365,13.687634,ov_kitty_s_cafe_46.6244_13.6876,Kitty's Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_bleiberg/pages/kittys_cafe_46.6244_13.6876.json,custom
46.626765,13.672284,osm_hotelbar_bleibergerhof_46.6268_13.6723,Hotelbar Bleibergerhof,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_bleiberg/pages/hotelbar_bleibergerhof_46.6268_13.6723.json,custom
46.627076,13.645276,osm_gh_wirnsperger_46.6271_13.6453,GH Wirnsperger,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_bleiberg/pages/gh_wirnsperger_46.6271_13.6453.json,custom
46.623390,13.696501,osm_all_in_cafe_bar_lounge_46.6234_13.6965,ALL IN Cafe Bar Lounge,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_bleiberg/pages/all_in_cafe_bar_lounge_46.6234_13.6965.json,custom
46.626266,13.675738,osm_rondeau_46.6263_13.6757,Rondeau,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_bleiberg/pages/rondeau_46.6263_13.6757.json,custom
46.628799,13.648720,ov_schaubergwerke_terra_mystica_46.6288_13.6487,Schaubergwerke Terra Mystica,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_bleiberg/pages/schaubergwerke_terra_mystica_46.6288_13.6487.json,custom
