# lat,lng,id,name,building_type,type,url,page_type
# loiano -- Tutti
44.266715,11.325146,ov_ospedale_di_loiano_44.2667_11.3251,Ospedale di Loiano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/ospedale_di_loiano_44.2667_11.3251.json,custom
44.296541,11.341137,ov_bar_trattoria_naldi_44.2965_11.3411,Bar Trattoria Naldi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/bar_trattoria_naldi_44.2965_11.3411.json,custom
44.285023,11.330051,ov_bar_trattoria_il_telegrafo_44.2850_11.3301,Bar Trattoria Il Telegrafo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/bar_trattoria_il_telegrafo_44.2850_11.3301.json,custom
44.295564,11.323848,ov_trattoria_anconella_44.2956_11.3238,Trattoria Anconella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/trattoria_anconella_44.2956_11.3238.json,custom
44.276086,11.303371,ov_la_ghinda_44.2761_11.3034,La Ghinda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/la_ghinda_44.2761_11.3034.json,custom
44.243406,11.317100,ov_da_angela_44.2434_11.3171,Da Angela,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/da_angela_44.2434_11.3171.json,custom
44.265248,11.324831,ov_antico_stradello_1810_44.2652_11.3248,Antico Stradello 1810,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/antico_stradello_1810_44.2652_11.3248.json,custom
44.269320,11.322670,ov_proloco_loiano_44.2693_11.3227,Proloco Loiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/proloco_loiano_44.2693_11.3227.json,custom
44.269324,11.322395,ov_antica_corona_44.2693_11.3224,Antica Corona,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/antica_corona_44.2693_11.3224.json,custom
44.269547,11.322384,ov_a_tutto_gusto_44.2695_11.3224,A tutto gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/a_tutto_gusto_44.2695_11.3224.json,custom
44.268964,11.322600,ov_ristorante_benvenuti_44.2690_11.3226,Ristorante Benvenuti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/ristorante_benvenuti_44.2690_11.3226.json,custom
44.249966,11.334038,ov_trattoria_al_bel_minghen_44.2500_11.3340,Trattoria Al Bel Minghen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/trattoria_al_bel_minghen_44.2500_11.3340.json,custom
44.249987,11.334226,ov_trattoria_da_marco_e_giuliana_44.2500_11.3342,Trattoria da Marco e Giuliana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/trattoria_da_marco_e_giuliana_44.2500_11.3342.json,custom
44.268411,11.351336,ov_ristorante_le_volte_44.2684_11.3513,Ristorante Le Volte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/ristorante_le_volte_44.2684_11.3513.json,custom
44.269288,11.322302,osm_antica_corona__grottino__44.2693_11.3223,Antica Corona (Grottino),ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/antica_corona_grottino_44.2693_11.3223.json,custom
44.241509,11.325312,osm_agriturismo_prato_grande_loiano_44.2415_11.3253,Agriturismo Prato Grande Loiano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/agriturismo_prato_grande_loiano_44.2415_11.3253.json,custom
44.276003,11.303401,osm_trattoria_la_ghinda_44.2760_11.3034,Trattoria La Ghinda,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/trattoria_la_ghinda_44.2760_11.3034.json,custom
44.269528,11.322531,ov_enoteca_macchie_di_vino_loiano_44.2695_11.3225,Enoteca Macchie di Vino Loiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/enoteca_macchie_di_vino_loiano_44.2695_11.3225.json,custom
44.269317,11.322011,ov_barakkina_44.2693_11.3220,Barakkina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/barakkina_44.2693_11.3220.json,custom
44.269078,11.322604,ov_bar_benvenuti_44.2691_11.3226,Bar Benvenuti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/bar_benvenuti_44.2691_11.3226.json,custom
44.270221,11.321962,osm_bar_posta_44.2702_11.3220,Bar Posta,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/bar_posta_44.2702_11.3220.json,custom
44.269727,11.322321,osm_naldi_e_monti_snc_44.2697_11.3223,Naldi e Monti Snc,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/naldi_e_monti_snc_44.2697_11.3223.json,custom
44.306967,11.326387,osm_bar_la_guarda_44.3070_11.3264,Bar La Guarda,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/bar_la_guarda_44.3070_11.3264.json,custom
44.271993,11.315385,ov_terrazza_panoramica_loiano_44.2720_11.3154,Terrazza Panoramica Loiano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/terrazza_panoramica_loiano_44.2720_11.3154.json,custom
44.260137,11.312863,ov_tsn_44.2601_11.3129,TSN,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/tsn_44.2601_11.3129.json,custom
44.251967,11.319320,ov_circolo_ippico_ospitalazzo_44.2520_11.3193,Circolo Ippico Ospitalazzo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/circolo_ippico_ospitalazzo_44.2520_11.3193.json,custom
44.265476,11.324832,ov_studio_yoga_shanti_om_44.2655_11.3248,Studio Yoga Shanti Om,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/studio_yoga_shanti_om_44.2655_11.3248.json,custom
44.265543,11.324729,osm_associazione_shanti_om_44.2655_11.3247,Associazione Shanti Om,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/associazione_shanti_om_44.2655_11.3247.json,custom
44.268252,11.321868,osm_poste_italiane_44.2683_11.3219,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/loiano/pages/poste_italiane_44.2683_11.3219.json,custom
