# lat,lng,id,name,building_type,type,url,page_type
# trigolo -- libraries.csv
45.328920,9.812571,ov_biblioteca_di_trigolo_45.3289_9.8126,Biblioteca di Trigolo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trigolo/pages/biblioteca_di_trigolo_45.3289_9.8126.json,custom
45.328300,9.814503,osm_biblioteca_comunale_di_trigolo_45.3283_9.8145,Biblioteca comunale di Trigolo,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trigolo/pages/biblioteca_comunale_di_trigolo_45.3283_9.8145.json,custom
45.328920,9.812571,osm_biblioteca_comunale_di_trigolo_45.3289_9.8126,Biblioteca comunale di Trigolo,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trigolo/pages/biblioteca_comunale_di_trigolo_45.3289_9.8126.json,custom
